"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1787460,-18.3258351729517,1790753,-18.3712074597414,-515,677788,677.788,"Kette 1",1,34,-18.3485213163466
2,2377358,-25.4285380511093,2377456,-25.4295789039132,-505,677763,677.763,"Kette 1",3,1,-25.4290584775113
3,2735577,-29.0075125520898,2732987,-28.9830938607624,-526,677678,677.678,"Kette 1",5,3,-28.9953032064261
4,2863791,-30.1932769276432,2864750,-30.2019819313482,-531,678039,678.039,"Kette 1",8,5,-30.1976294294957
5,2873732,-30.2833991703048,2871047,-30.2590825389293,-548,678037,678.037,"Kette 1",10,6,-30.2712408546171
6,2872733,-30.2743538925604,2863309,-30.1889008445186,-536,678346,678.346,"Kette 1",13,7,-30.2316273685395
7,2889356,-30.4245358119923,2894810,-30.4736591315229,-541,678839,678.839,"Kette 1",16,8,-30.4490974717576
8,2929473,-30.7841423625642,2934811,-30.8316948211212,-543,679173,679.173,"Kette 1",21,15,-30.8079185918427
9,2947723,-30.9464346530706,2952786,-30.9913169498084,-541,679923,679.923,"Kette 1",26,16,-30.9688758014395
10,2963923,-31.0898293785858,2959602,-31.0516428310916,-560,680350,680.35,"Kette 1",30,17,-31.0707361048387
11,1769347,-18.0748367006065,1772776,-18.122540706821,-499,677706,677.706,"Kette 2",1,33,-18.0986887037137
12,2382108,-25.4789443841987,2386707,-25.5276645797579,-545,677720,677.72,"Kette 2",3,4,-25.5033044819783
13,2745851,-29.104188885697,2749422,-29.1377214365992,-548,677875,677.875,"Kette 2",5,10,-29.1209551611481
14,2862064,-30.1775947242489,2864843,-30.2028259828514,-543,677927,677.927,"Kette 2",8,11,-30.1902103535502
15,2869187,-30.2422267505869,2871755,-30.2654963004636,-547,678296,678.296,"Kette 2",10,12,-30.2538615255252
16,NA,NA,NA,NA,-528,678449,678.449,"Kette 2",13,13,NA
17,2897520,-30.4980400580288,2896151,-30.4857259290301,-533,679209,679.209,"Kette 2",16,20,-30.4918829935295
18,2922444,-30.7214204978724,2919878,-30.6984933172931,-548,679319,679.319,"Kette 2",21,21,-30.7099569075828
19,2945393,-30.9257591793596,2944995,-30.9222261894411,-549,679865,679.865,"Kette 2",26,22,-30.9239926844003
20,2963871,-31.0893700943149,2966750,-31.1147889481879,-560,679871,679.871,"Kette 2",30,24,-31.1020795212514
