"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C","time"
1,1122372,-6.91008705563695,1126789,-7.00653137527121,-311,674753,674.753,"Kette 1",1,34,-6.95830921545408,2026-06-28 15:48:50
2,948812,-2.77357121360592,949697,-2.79660288152144,-339,674816,674.816,"Kette 1",3,1,-2.78508704756368,2026-06-28 15:48:50
3,924908,-2.14283608781807,926680,-2.19017472812016,-321,674623,674.623,"Kette 1",5,3,-2.16650540796911,2026-06-28 15:48:50
4,892837,-1.26923420979671,894216,-1.30747091462877,-337,674728,674.728,"Kette 1",8,5,-1.28835256221274,2026-06-28 15:48:50
5,930902,-2.30258371490663,930167,-2.28305307024328,-346,674641,674.641,"Kette 1",10,6,-2.29281839257496,2026-06-28 15:48:50
6,895784,-1.35087297336833,893804,-1.29605353520378,-346,674583,674.583,"Kette 1",13,7,-1.32346325428605,2026-06-28 15:48:50
7,860903,-0.365961502896653,863728,-0.44727972895646,-334,674801,674.801,"Kette 1",16,8,-0.406620615926556,2026-06-28 15:48:50
8,831729,0.490672689193104,834378,0.411589979693758,-342,674794,674.794,"Kette 1",21,15,0.451131334443431,2026-06-28 15:48:50
9,792549,1.6925159885875,794335,1.63637267689677,-348,674900,674.9,"Kette 1",26,16,1.66444433274214,2026-06-28 15:48:50
10,796746,1.56079452604098,794678,1.62560573516174,-370,674927,674.927,"Kette 1",30,17,1.59320013060136,2026-06-28 15:48:50
11,1109101,-6.61795631380522,1111483,-6.67065405744603,-354,674699,674.699,"Kette 2",1,33,-6.64430518562563,2026-06-28 15:48:50
12,942751,-2.61523085731142,945622,-2.69036641221379,-350,674760,674.76,"Kette 2",3,4,-2.6527986347626,2026-06-28 15:48:50
13,1178600,-8.10976112539703,1177585,-8.0886280970044,-350,674793,674.793,"Kette 2",5,10,-8.09919461120072,2026-06-28 15:48:50
14,1121878,-6.89927646030986,1122021,-6.90240634543738,-360,674694,674.694,"Kette 2",8,11,-6.90084140287362,2026-06-28 15:48:50
15,989025,-3.79809827110392,998745,-4.03922809232483,-360,674928,674.928,"Kette 2",10,12,-3.91866318171438,2026-06-28 15:48:50
16,879312,-0.890890451213693,881608,-0.955547528156956,-338,674804,674.804,"Kette 2",13,13,-0.923218989685324,2026-06-28 15:48:50
17,889160,-1.16697471276706,891806,-1.24060622680236,-331,675133,675.133,"Kette 2",16,20,-1.20379046978471,2026-06-28 15:48:50
18,848057,0.00739792850129106,846977,0.0390589056485737,-342,674903,674.903,"Kette 2",21,21,0.0232284170749324,2026-06-28 15:48:50
19,845314,0.0878943997554416,845183,0.0917456427484353,-342,675013,675.013,"Kette 2",26,22,0.0898200212519384,2026-06-28 15:48:50
20,836350,0.352890456521493,837776,0.310534513375046,-358,674784,674.784,"Kette 2",30,24,0.33171248494827,2026-06-28 15:48:50
1,1150513,-7.5179989103105,1153634,-7.58447985291963,-314,674682,674.682,"Kette 1",1,34,-7.55123938161506,2026-06-28 15:56:28
2,988342,-3.78106208747289,988691,-3.78976878317627,-334,674739,674.739,"Kette 1",3,1,-3.78541543532458,2026-06-28 15:56:28
3,946619,-2.71640264793712,947990,-2.75215897160587,-322,674605,674.605,"Kette 1",5,3,-2.73428080977149,2026-06-28 15:56:28
4,927388,-2.20906231072752,928810,-2.24695196152652,-336,674736,674.736,"Kette 1",8,5,-2.22800713612702,2026-06-28 15:56:28
5,953949,-2.90694723533477,953197,-2.88746940125793,-342,674631,674.631,"Kette 1",10,6,-2.89720831829635,2026-06-28 15:56:28
6,927105,-2.20151442545045,925011,-2.14559031250116,-340,674570,674.57,"Kette 1",13,7,-2.17355236897581,2026-06-28 15:56:28
7,893712,-1.29350326794258,896451,-1.36931126278802,-354,674819,674.819,"Kette 1",16,8,-1.3314072653653,2026-06-28 15:56:28
8,858345,-0.292085839351557,861016,-0.369219630101384,-338,674761,674.761,"Kette 1",21,15,-0.33065273472647,2026-06-28 15:56:28
