"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,1061919,-5.55599736932533,1086055,-6.08171687122393,1082415,-6.04032147309164
2,1083198,-6.0530062890129,1064730,-5.64843214075876,1078627,-5.98691579736982
3,1067607,-5.67208019655698,1061286,-5.56946853922085,1067114,-5.67681980692379
4,1065877,-5.67530122626692,1069953,-5.71296293160725,1059124,-5.47938910072452
5,1054306,-5.35765733369107,1069707,-5.7875558164132,1062897,-5.52263228450778
6,1052099,-5.31296939432008,1052658,-5.34121618706382,1043856,-5.12024726767942
7,1048872,-5.18865362422196,1048900,-5.24882048791608,1057183,-5.43203144238197
8,1025807,-4.7281536120484,1046888,-5.18762463160732,1044241,-5.16183839960337
9,1031498,-4.86080695446611,1043967,-5.10252525460538,1033578,-4.91585829530118
10,1035253,-4.88671604607663,1044520,-5.1512736526085,1030413,-4.82063214617176
11,1030226,-4.78987363542007,1041792,-5.06560428974865,1033625,-4.88695766653666
12,1052109,-5.29339181707547,1047019,-5.2493839583779,1040403,-5.16126496219658
13,1032646,-4.88505188929543,1045857,-5.22388809720502,1048322,-5.29504165424811
14,1040741,-5.01600372658339,1038372,-5.01404193985979,1048519,-5.26748239409756
15,1051446,-5.28109895941685,1045383,-5.20126509725748,1040785,-5.12171745096168
16,1033700,-4.85047014960577,1030025,-4.83055753896178,1053470,-5.38436094123568
17,1039502,-4.95500845482542,1041413,-5.01180010424912,1053529,-5.29842546022894
18,1044784,-5.10238692152126,1053580,-5.3735497308266,1059535,-5.52135517927121
19,1049240,-5.21757813497896,1046268,-5.20505161072242,1057372,-5.48818807395605
20,1059216,-5.52076725777619,1064418,-5.58449185724993,1062191,-5.514144742844
21,1050961,-5.30754090198127,1064548,-5.59327106878504,1062243,-5.55277705888585
22,1058252,-5.47604125514613,1072622,-5.77133538702805,1073220,-5.76260602408627
23,1090355,-6.16642015190718,1084771,-6.06131975637095,1092569,-6.23514595306455
24,1078133,-5.93255461187073,1060434,-5.4892847624393,NA,NA
