"node","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","testSB_counts","testSB_C"
1,950453,-2.82295752097258,998761,-4.01875129862651,998632,-4.05965108393991
2,1017747,-4.5196805116762,1016325,-4.50320190995382,1018773,-4.58218812594504
3,1018718,-4.51831654921102,1019564,-4.58266705434272,1022878,-4.63518323737401
4,1024229,-4.69408731371703,1026455,-4.69178064035157,1023121,-4.62833911966015
5,1023200,-4.62006904101816,1028794,-4.82822344187628,1028861,-4.72185415202273
6,1024793,-4.66526608489801,1030216,-4.8109302411163,1028388,-4.75284041864245
7,1029053,-4.71910105771985,1024854,-4.67823892019504,1028316,-4.75098150973366
8,1021783,-4.63138137839013,1034874,-4.90353899282337,1036793,-4.98565349469214
9,1028886,-4.79833397454706,1032179,-4.82289197153381,1029477,-4.81800543388823
10,1032460,-4.82020427741168,1032207,-4.85942473659685,1031009,-4.83486813930091
11,1026783,-4.70739863763032,1027851,-4.73391731756084,1025162,-4.68455637855124
12,1033585,-4.85608644943699,1033849,-4.93795234345106,1036007,-5.0567297383605
13,1031782,-4.86442923490051,1035825,-4.98673673771106,1035747,-4.99807495965496
14,1039962,-4.9975691225186,1035749,-4.95178232241329,1036130,-4.97549650820349
15,1039758,-5.00603998822089,1039074,-5.05235511920353,1040016,-5.10351229005664
16,1043714,-5.08771065561098,1038501,-5.03233430733195,1042618,-5.12952567700046
17,1039555,-4.95626407990318,1035333,-4.86770772136583,1036888,-4.90655479172784
18,1029229,-4.73317449527366,1028017,-4.76897746179333,1022216,-4.63661430482335
19,1021538,-4.55868930239205,1016342,-4.49045142415105,1014404,-4.46729415249808
20,1012854,-4.41858824536735,1012372,-4.35068192712595,1009005,-4.24961767813937
21,1003986,-4.18199297987275,1013082,-4.37360761859969,1021264,-4.58699731325527
22,1025961,-4.71257786427918,1042320,-5.06632067398095,1053297,-5.30172786482893
23,1055985,-5.37913651529715,1050976,-5.28375960119371,1052642,-5.32032333743479
24,1048084,-5.23646883009422,1052226,-5.29809909515427,NA,NA
