"node","ntc1_C","ntc2_C","gnd","pressure_hPa"
1,-5.95457587429661,-6.04679358897215,-311,674.753
2,-1.98644469084564,-2.00860838146662,-339,674.816
3,-1.37917781710593,-1.42477529556032,-321,674.623
4,-0.53711993624222,-0.573999318719814,-337,674.728
5,-1.53303663666384,-1.51422795678587,-346,674.641
6,-0.615858109648855,-0.562987455672328,-346,674.583
7,0.334708803780188,0.256172636381223,-334,674.801
8,1.16262078682536,1.0861449135769,-342,674.794
9,2.32596563267634,2.27157406222881,-348,674.9
10,2.19836126407961,2.26114358495965,-370,674.927
11,-5.67516373857342,-5.72557647544699,-354,674.699
12,-1.83405056404695,-1.90636909491275,-350,674.76
13,-7.10069679156953,-7.08052555904453,-350,674.793
14,-5.9442381894263,-5.94723117520289,-360,674.694
15,-2.97160933537833,-3.20325111368049,-360,674.928
16,-0.172091578882771,-0.234487915142154,-338,674.804
17,-0.438479950305918,-0.509506789160469,-331,675.133
18,0.695418495814238,0.726016107455166,-342,674.903
19,0.773214273751819,0.776936542193425,-342,675.013
20,1.02938620857486,0.988433818851831,-358,674.784
