"msg","time","node","ntc","sensor","hoehe_cm","counts","T_std","T_cal","diff"
1,2026-06-29 18:16:32,1,1,"NTC1",4,1061919,-4.65207996639623,-5.55599736932533,-0.903917402929096
1,2026-06-29 18:16:32,1,2,"NTC2",8,1086055,-5.18137123577515,-6.08171687122393,-0.900345635448787
1,2026-06-29 18:16:32,1,3,"NTC3",12,1082415,-5.10235754047102,-6.04032147309164,-0.937963932620619
1,2026-06-29 18:16:32,2,1,"NTC1",16,1083198,-5.11937810344881,-6.0530062890129,-0.933628185564089
1,2026-06-29 18:16:32,2,2,"NTC2",20,1064730,-4.71438238846264,-5.64843214075876,-0.934049752296119
1,2026-06-29 18:16:32,2,3,"NTC3",24,1078627,-5.01982921420762,-5.98691579736982,-0.9670865831622
1,2026-06-29 18:16:32,3,1,"NTC1",28,1067607,-4.77796560449917,-5.67208019655698,-0.894114592057804
1,2026-06-29 18:16:32,3,2,"NTC2",32,1061286,-4.63802593264262,-5.56946853922085,-0.93144260657823
1,2026-06-29 18:16:32,3,3,"NTC3",36,1067114,-4.76708307119287,-5.67681980692379,-0.909736735730917
1,2026-06-29 18:16:32,4,1,"NTC1",40,1065877,-4.73975370433493,-5.67530122626692,-0.935547521931994
1,2026-06-29 18:16:32,4,2,"NTC2",44,1069953,-4.82967789535797,-5.71296293160725,-0.883285036249276
1,2026-06-29 18:16:32,4,3,"NTC3",48,1059124,-4.58995687424368,-5.47938910072452,-0.889432226480835
1,2026-06-29 18:16:32,5,1,"NTC1",52,1054306,-4.48245627346915,-5.35765733369107,-0.875201060221912
1,2026-06-29 18:16:32,5,2,"NTC2",56,1069707,-4.82426107429814,-5.7875558164132,-0.963294742115067
1,2026-06-29 18:16:32,5,3,"NTC3",60,1062897,-4.67377615941064,-5.52263228450778,-0.848856125097143
1,2026-06-29 18:16:32,6,1,"NTC1",64,1052099,-4.43303718239605,-5.31296939432008,-0.879932211924029
1,2026-06-29 18:16:32,6,2,"NTC2",68,1052658,-4.44556479359045,-5.34121618706382,-0.895651393473372
1,2026-06-29 18:16:32,6,3,"NTC3",72,1043856,-4.24747265249476,-5.12024726767942,-0.872774615184653
1,2026-06-29 18:16:32,7,1,"NTC1",76,1048872,-4.3605779518274,-5.18865362422196,-0.828075672394561
1,2026-06-29 18:16:32,7,2,"NTC2",80,1048900,-4.36120769240921,-5.24882048791608,-0.887612795506868
1,2026-06-29 18:16:32,7,3,"NTC3",84,1057183,-4.5467118487453,-5.43203144238197,-0.885319593636666
