"node","analysis","space","slope","pm95","intercept","r2","resid_sd"
1,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0642,0.0536,0.533,0.99474,0.4019
2,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0616,0.0363,0.734,0.99757,0.2708
3,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0716,0.041,0.874,0.99695,0.3085
4,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.1016,0.0724,1.096,0.99108,0.5349
5,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",0.9807,0.0147,-0.269,0.99953,0.1161
6,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0245,0.018,0.232,0.99936,0.1318
7,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0311,0.0127,0.411,0.99969,0.0935
8,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0339,0.0339,0.352,0.99777,0.2488
9,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0129,0.0262,0.132,0.99861,0.1878
10,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",0.9908,0.0183,-0.065,0.99929,0.1339
11,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0868,0.057,0.837,0.9943,0.4168
12,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0551,0.0373,0.795,0.9974,0.2777
13,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.1062,0.0653,1.009,0.9928,0.4643
14,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.007,0.0064,0.131,0.99992,0.0454
15,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.054,0.03,0.607,0.99832,0.2117
16,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0746,0.0348,0.963,0.99782,0.25
17,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.1124,0.0638,1.28,0.99319,0.4473
18,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0747,0.0519,0.869,0.99516,0.3544
19,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0861,0.0488,0.997,0.99582,0.3397
20,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.046,0.0359,0.452,0.99756,0.2489
21,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0515,0.0344,0.469,0.99777,0.2425
22,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0216,0.0279,0.311,0.99845,0.1938
23,"NTC2 ~ Mittel(NTC1,NTC3)","kalibriert",1.0286,0.0147,0.395,0.99957,0.1001
1,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0701,0.051,-85138.78,0.99529,23695.8454
2,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.057,0.0338,-80885.786,0.99787,15702.8275
3,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0668,0.0379,-95826.948,0.99738,17590.5828
4,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.1023,0.0647,-137851.704,0.99288,29493.3443
5,"NTC2 ~ Mittel(NTC1,NTC3)","roh",0.9858,0.0156,22396.267,0.99948,7567.4904
6,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0302,0.016,-39142.319,0.9995,7182.7097
7,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0304,0.011,-45528.037,0.99976,4997.2768
8,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0379,0.0286,-50481.864,0.99842,12784.0636
9,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0164,0.0232,-21853.414,0.99891,10090.3727
10,"NTC2 ~ Mittel(NTC1,NTC3)","roh",0.9906,0.0159,10671.81,0.99946,7050.6052
11,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0962,0.0514,-124129.037,0.99545,22690.4237
12,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.049,0.0306,-77977.48,0.99823,13880.4114
13,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.116,0.0614,-148794.301,0.99373,26366.0764
14,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0053,0.0062,-10403.683,0.99992,2643.1162
15,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0562,0.0272,-77469.718,0.99862,11625.8076
16,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0693,0.0317,-102911.73,0.99818,13820.5858
17,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.1127,0.0578,-156241.365,0.99442,24598.2749
18,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0754,0.048,-105735.227,0.99586,19882.3746
19,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.0843,0.0453,-117954.783,0.99638,19179.9747
20,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.05,0.0338,-65069.212,0.99785,14290.4198
21,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.057,0.0309,-72210.18,0.99822,13201.2638
22,"NTC2 ~ Mittel(NTC1,NTC3)","roh",1.02,0.023,-31590.471,0.99894,9752.2297
