"node","time","sensor","temp_C"
1,2026-06-29 18:16:32,"ntc1_C",-4.65207996639623
1,2026-06-29 18:16:32,"ntc2_C",-5.18137123577515
1,2026-06-29 18:16:32,"testSB_C",-5.10235754047102
2,2026-06-29 18:16:32,"ntc1_C",-5.11937810344881
2,2026-06-29 18:16:32,"ntc2_C",-4.71438238846264
2,2026-06-29 18:16:32,"testSB_C",-5.01982921420762
3,2026-06-29 18:16:32,"ntc1_C",-4.77796560449917
3,2026-06-29 18:16:32,"ntc2_C",-4.63802593264262
3,2026-06-29 18:16:32,"testSB_C",-4.76708307119287
4,2026-06-29 18:16:32,"ntc1_C",-4.73975370433493
4,2026-06-29 18:16:32,"ntc2_C",-4.82967789535797
4,2026-06-29 18:16:32,"testSB_C",-4.58995687424368
5,2026-06-29 18:16:32,"ntc1_C",-4.48245627346915
5,2026-06-29 18:16:32,"ntc2_C",-4.82426107429814
5,2026-06-29 18:16:32,"testSB_C",-4.67377615941064
6,2026-06-29 18:16:32,"ntc1_C",-4.43303718239605
6,2026-06-29 18:16:32,"ntc2_C",-4.44556479359045
6,2026-06-29 18:16:32,"testSB_C",-4.24747265249476
7,2026-06-29 18:16:32,"ntc1_C",-4.3605779518274
7,2026-06-29 18:16:32,"ntc2_C",-4.36120769240921
7,2026-06-29 18:16:32,"testSB_C",-4.5467118487453
8,2026-06-29 18:16:32,"ntc1_C",-3.8356085922303
8,2026-06-29 18:16:32,"ntc2_C",-4.31591039591012
8,2026-06-29 18:16:32,"testSB_C",-4.25617460791881
9,2026-06-29 18:16:32,"ntc1_C",-3.96630705107623
9,2026-06-29 18:16:32,"ntc2_C",-4.24998188102745
9,2026-06-29 18:16:32,"testSB_C",-4.01388282181347
10,2026-06-29 18:16:32,"ntc1_C",-4.05212038928494
10,2026-06-29 18:16:32,"ntc2_C",-4.26247855050036
10,2026-06-29 18:16:32,"testSB_C",-3.94144898488668
11,2026-06-29 18:16:32,"ntc1_C",-3.93716185194108
11,2026-06-29 18:16:32,"ntc2_C",-4.2007623617335
11,2026-06-29 18:16:32,"testSB_C",-4.01495666335774
12,2026-06-29 18:16:32,"ntc1_C",-4.43326135257911
12,2026-06-29 18:16:32,"ntc2_C",-4.31886251249307
12,2026-06-29 18:16:32,"testSB_C",-4.16927205332837
13,2026-06-29 18:16:32,"ntc1_C",-3.99257793920066
13,2026-06-29 18:16:32,"ntc2_C",-4.29266272874548
13,2026-06-29 18:16:32,"testSB_C",-4.34820439279179
14,2026-06-29 18:16:32,"ntc1_C",-4.17693907194587
14,2026-06-29 18:16:32,"ntc2_C",-4.12314554561181
14,2026-06-29 18:16:32,"testSB_C",-4.35263717635587
15,2026-06-29 18:16:32,"ntc1_C",-4.41839392489561
15,2026-06-29 18:16:32,"ntc2_C",-4.28196641784615
15,2026-06-29 18:16:32,"testSB_C",-4.17793694887217
16,2026-06-29 18:16:32,"ntc1_C",-4.0166701317325
16,2026-06-29 18:16:32,"ntc2_C",-3.93255282522057
16,2026-06-29 18:16:32,"testSB_C",-4.46374963361984
17,2026-06-29 18:16:32,"ntc1_C",-4.14882116865266
17,2026-06-29 18:16:32,"ntc2_C",-4.19217444375323
17,2026-06-29 18:16:32,"testSB_C",-4.46507036059694
18,2026-06-29 18:16:32,"ntc1_C",-4.26844190899101
18,2026-06-29 18:16:32,"ntc2_C",-4.46621194209592
18,2026-06-29 18:16:32,"testSB_C",-4.59910296989273
19,2026-06-29 18:16:32,"ntc1_C",-4.36885310479818
19,2026-06-29 18:16:32,"ntc2_C",-4.30193317143573
19,2026-06-29 18:16:32,"testSB_C",-4.55092645968301
20,2026-06-29 18:16:32,"ntc1_C",-4.59200450556051
20,2026-06-29 18:16:32,"ntc2_C",-4.70747597614974
20,2026-06-29 18:16:32,"testSB_C",-4.65811622792273
21,2026-06-29 18:16:32,"ntc1_C",-4.40751169005244
21,2026-06-29 18:16:32,"ntc2_C",-4.71035391120967
21,2026-06-29 18:16:32,"testSB_C",-4.65927003068919
22,2026-06-29 18:16:32,"ntc1_C",-4.57053942713856
22,2026-06-29 18:16:32,"ntc2_C",-4.88836271915596
22,2026-06-29 18:16:32,"testSB_C",-4.90148987135996
23,2026-06-29 18:16:32,"ntc1_C",-5.27434802106802
23,2026-06-29 18:16:32,"ntc2_C",-5.15353170561656
23,2026-06-29 18:16:32,"testSB_C",-5.32206771493327
24,2026-06-29 18:16:32,"ntc1_C",-5.0090437207262
24,2026-06-29 18:16:32,"ntc2_C",-4.6190954278905
1,2026-06-29 22:15:57,"ntc1_C",-6.4317085267266
1,2026-06-29 22:15:57,"ntc2_C",-6.26453936925327
1,2026-06-29 22:15:57,"testSB_C",-6.45636632317428
2,2026-06-29 22:15:57,"ntc1_C",-6.57698656218668
2,2026-06-29 22:15:57,"ntc2_C",-6.37769269141518
2,2026-06-29 22:15:57,"testSB_C",-6.40679770638258
3,2026-06-29 22:15:57,"ntc1_C",-6.36927606251618
3,2026-06-29 22:15:57,"ntc2_C",-6.01504004210852
3,2026-06-29 22:15:57,"testSB_C",-6.47315061599465
4,2026-06-29 22:15:57,"ntc1_C",-6.60721167910322
4,2026-06-29 22:15:57,"ntc2_C",-6.17175782828002
4,2026-06-29 22:15:57,"testSB_C",-6.55411240452514
5,2026-06-29 22:15:57,"ntc1_C",-6.01318303717477
5,2026-06-29 22:15:57,"ntc2_C",-6.33302740140289
5,2026-06-29 22:15:57,"testSB_C",-6.47997517073094
6,2026-06-29 22:15:57,"ntc1_C",-6.65161046431228
6,2026-06-29 22:15:57,"ntc2_C",-6.59947132023075
6,2026-06-29 22:15:57,"testSB_C",-6.66227074502154
7,2026-06-29 22:15:57,"ntc1_C",-6.70744889684329
7,2026-06-29 22:15:57,"ntc2_C",-6.47033027423197
7,2026-06-29 22:15:57,"testSB_C",-6.60753667423751
8,2026-06-29 22:15:57,"ntc1_C",-6.51245484786205
8,2026-06-29 22:15:57,"ntc2_C",-6.34846706906347
8,2026-06-29 22:15:57,"testSB_C",-6.67124490341109
9,2026-06-29 22:15:57,"ntc1_C",-6.65864358400233
9,2026-06-29 22:15:57,"ntc2_C",-6.56766881160291
9,2026-06-29 22:15:57,"testSB_C",-6.8320593550261
10,2026-06-29 22:15:57,"ntc1_C",-6.62903667031804
10,2026-06-29 22:15:57,"ntc2_C",-6.61710157805544
10,2026-06-29 22:15:57,"testSB_C",-6.7972069396015
11,2026-06-29 22:15:57,"ntc1_C",-6.56484015803312
11,2026-06-29 22:15:57,"ntc2_C",-6.20485907838275
11,2026-06-29 22:15:57,"testSB_C",-6.53241706841033
12,2026-06-29 22:15:57,"ntc1_C",-6.38918339554868
12,2026-06-29 22:15:57,"ntc2_C",-5.97588468037281
12,2026-06-29 22:15:57,"testSB_C",-6.79561594014496
13,2026-06-29 22:15:57,"ntc1_C",-6.53569819983414
13,2026-06-29 22:15:57,"ntc2_C",-6.2839023324799
13,2026-06-29 22:15:57,"testSB_C",-6.71842586829285
14,2026-06-29 22:15:57,"ntc1_C",-6.70528520419714
14,2026-06-29 22:15:57,"ntc2_C",-6.72283129623224
14,2026-06-29 22:15:57,"testSB_C",-6.86824206816766
15,2026-06-29 22:15:57,"ntc1_C",-6.6685915249073
15,2026-06-29 22:15:57,"ntc2_C",-6.59014271917391
15,2026-06-29 22:15:57,"testSB_C",-6.99185244434091
16,2026-06-29 22:15:57,"ntc1_C",-7.13190111360075
16,2026-06-29 22:15:57,"ntc2_C",-6.50051783865968
16,2026-06-29 22:15:57,"testSB_C",-6.60085300036712
17,2026-06-29 22:15:57,"ntc1_C",-6.95213225973691
17,2026-06-29 22:15:57,"ntc2_C",-6.47893323436148
17,2026-06-29 22:15:57,"testSB_C",-7.00532272251934
18,2026-06-29 22:15:57,"ntc1_C",-6.98983618594445
18,2026-06-29 22:15:57,"ntc2_C",-6.55268707382356
18,2026-06-29 22:15:57,"testSB_C",-7.06791665442518
19,2026-06-29 22:15:57,"ntc1_C",-7.00923255605812
19,2026-06-29 22:15:57,"ntc2_C",-6.60184856927123
19,2026-06-29 22:15:57,"testSB_C",-6.90103859508133
20,2026-06-29 22:15:57,"ntc1_C",-7.04751638424602
20,2026-06-29 22:15:57,"ntc2_C",-6.88842721591027
20,2026-06-29 22:15:57,"testSB_C",-6.92712072159429
21,2026-06-29 22:15:57,"ntc1_C",-6.73111435660894
21,2026-06-29 22:15:57,"ntc2_C",-6.55940568522288
21,2026-06-29 22:15:57,"testSB_C",-6.6066023003446
22,2026-06-29 22:15:57,"ntc1_C",-6.7889486088115
22,2026-06-29 22:15:57,"ntc2_C",-6.53816382268326
22,2026-06-29 22:15:57,"testSB_C",-6.85968892485096
23,2026-06-29 22:15:57,"ntc1_C",-7.02863186369564
23,2026-06-29 22:15:57,"ntc2_C",-6.84829967734498
23,2026-06-29 22:15:57,"testSB_C",-6.87155401677961
24,2026-06-29 22:15:57,"ntc1_C",-7.01669124004525
24,2026-06-29 22:15:57,"ntc2_C",-6.5424830937497
1,2026-06-30 02:15:57,"ntc1_C",-12.2083421332268
1,2026-06-30 02:15:57,"ntc2_C",-12.291532020291
1,2026-06-30 02:15:57,"testSB_C",-12.1951904972385
2,2026-06-30 02:15:57,"ntc1_C",-12.262905979699
2,2026-06-30 02:15:57,"ntc2_C",-12.2305023875397
2,2026-06-30 02:15:57,"testSB_C",-12.1782812960936
3,2026-06-30 02:15:57,"ntc1_C",-12.1399396056978
3,2026-06-30 02:15:57,"ntc2_C",-12.1343912215397
3,2026-06-30 02:15:57,"testSB_C",-12.2019727655685
4,2026-06-30 02:15:57,"ntc1_C",-12.1707954476815
4,2026-06-30 02:15:57,"ntc2_C",-12.2117868494
4,2026-06-30 02:15:57,"testSB_C",-12.1529650250245
5,2026-06-30 02:15:57,"ntc1_C",-12.1661570918967
5,2026-06-30 02:15:57,"ntc2_C",-12.1451538442699
5,2026-06-30 02:15:57,"testSB_C",-12.2462209349123
6,2026-06-30 02:15:57,"ntc1_C",-12.1657137861915
6,2026-06-30 02:15:57,"ntc2_C",-12.1548659179057
6,2026-06-30 02:15:57,"testSB_C",-12.1646213171376
7,2026-06-30 02:15:57,"ntc1_C",-12.1801009478434
7,2026-06-30 02:15:57,"ntc2_C",-12.1502084461531
7,2026-06-30 02:15:57,"testSB_C",-12.1887067057354
8,2026-06-30 02:15:57,"ntc1_C",-12.0414515460648
8,2026-06-30 02:15:57,"ntc2_C",-12.0974676924265
8,2026-06-30 02:15:57,"testSB_C",-12.1305699701467
9,2026-06-30 02:15:57,"ntc1_C",-12.0731734675572
9,2026-06-30 02:15:57,"ntc2_C",-12.0763686419376
9,2026-06-30 02:15:57,"testSB_C",-12.1144216127772
10,2026-06-30 02:15:57,"ntc1_C",-12.0898914620182
10,2026-06-30 02:15:57,"ntc2_C",-12.0449695631456
10,2026-06-30 02:15:57,"testSB_C",-12.1383069370401
11,2026-06-30 02:15:57,"ntc1_C",-12.0240284857778
11,2026-06-30 02:15:57,"ntc2_C",-12.0954507892356
11,2026-06-30 02:15:57,"testSB_C",-12.0349234555202
12,2026-06-30 02:15:57,"ntc1_C",-12.1263674327061
12,2026-06-30 02:15:57,"ntc2_C",-11.9543932005811
12,2026-06-30 02:15:57,"testSB_C",-12.0033231109867
13,2026-06-30 02:15:57,"ntc1_C",-11.9480796629051
13,2026-06-30 02:15:57,"ntc2_C",-12.0347005117731
13,2026-06-30 02:15:57,"testSB_C",-11.9978846015323
14,2026-06-30 02:15:57,"ntc1_C",-12.056252171798
14,2026-06-30 02:15:57,"ntc2_C",-11.9858067431206
14,2026-06-30 02:15:57,"testSB_C",-12.0026533360145
15,2026-06-30 02:15:57,"ntc1_C",-12.0064165755429
15,2026-06-30 02:15:57,"ntc2_C",-12.0026054941845
15,2026-06-30 02:15:57,"testSB_C",-12.0218616075603
16,2026-06-30 02:15:57,"ntc1_C",-12.1081368124911
16,2026-06-30 02:15:57,"ntc2_C",-11.9932424907902
16,2026-06-30 02:15:57,"testSB_C",-11.9874345196774
17,2026-06-30 02:15:57,"ntc1_C",-12.0493305064336
17,2026-06-30 02:15:57,"ntc2_C",-12.0731893650665
17,2026-06-30 02:15:57,"testSB_C",-12.0571271737763
18,2026-06-30 02:15:57,"ntc1_C",-11.9947580614835
18,2026-06-30 02:15:57,"ntc2_C",-11.9291284418381
18,2026-06-30 02:15:57,"testSB_C",-11.9986502187837
19,2026-06-30 02:15:57,"ntc1_C",-11.9784643308164
19,2026-06-30 02:15:57,"ntc2_C",-11.9727483649237
19,2026-06-30 02:15:57,"testSB_C",-11.9583722191547
20,2026-06-30 02:15:57,"ntc1_C",-11.9782727576464
20,2026-06-30 02:15:57,"ntc2_C",-12.0122993664442
20,2026-06-30 02:15:57,"testSB_C",-12.0174634798161
21,2026-06-30 02:15:57,"ntc1_C",-11.8410243763818
21,2026-06-30 02:15:57,"ntc2_C",-11.9688517370138
21,2026-06-30 02:15:57,"testSB_C",-11.915380845496
22,2026-06-30 02:15:57,"ntc1_C",-11.8923961309928
22,2026-06-30 02:15:57,"ntc2_C",-11.9204551481663
22,2026-06-30 02:15:57,"testSB_C",-12.0187543235544
23,2026-06-30 02:15:57,"ntc1_C",-11.9959225887573
23,2026-06-30 02:15:57,"ntc2_C",-11.9445944726803
23,2026-06-30 02:15:57,"testSB_C",-11.9581485178524
24,2026-06-30 02:15:57,"ntc1_C",-11.933975712226
24,2026-06-30 02:15:57,"ntc2_C",-11.9685802255659
1,2026-06-30 06:15:57,"ntc1_C",-17.3253893256349
1,2026-06-30 06:15:57,"ntc2_C",-17.8683201760488
1,2026-06-30 06:15:57,"testSB_C",-17.2740720888232
2,2026-06-30 06:15:57,"ntc1_C",-17.3926209671329
2,2026-06-30 06:15:57,"ntc2_C",-17.6852360711363
2,2026-06-30 06:15:57,"testSB_C",-17.3333074266152
3,2026-06-30 06:15:57,"ntc1_C",-17.1857653419716
3,2026-06-30 06:15:57,"ntc2_C",-17.6067882558868
3,2026-06-30 06:15:57,"testSB_C",-17.3302088069299
4,2026-06-30 06:15:57,"ntc1_C",-17.2052793191483
4,2026-06-30 06:15:57,"ntc2_C",-17.7570030513494
4,2026-06-30 06:15:57,"testSB_C",-17.1028857377572
5,2026-06-30 06:15:57,"ntc1_C",-17.7392464555051
5,2026-06-30 06:15:57,"ntc2_C",-17.5361419138232
5,2026-06-30 06:15:57,"testSB_C",-17.265918395123
6,2026-06-30 06:15:57,"ntc1_C",-17.045830902551
6,2026-06-30 06:15:57,"ntc2_C",-17.373186242356
6,2026-06-30 06:15:57,"testSB_C",-17.2017695260564
7,2026-06-30 06:15:57,"ntc1_C",-17.1105855613089
7,2026-06-30 06:15:57,"ntc2_C",-17.3627176503535
7,2026-06-30 06:15:57,"testSB_C",-17.3266923274724
8,2026-06-30 06:15:57,"ntc1_C",-16.9860058266668
8,2026-06-30 06:15:57,"ntc2_C",-17.2649037407269
8,2026-06-30 06:15:57,"testSB_C",-17.1650633111862
9,2026-06-30 06:15:57,"ntc1_C",-16.8959099342102
