modem,recv_time_utc,start_time_utc,time_utc,battery_mv,adc_temp_C,n1.ntc1_temp_C,n1.ntc2_temp_C,n2.ntc1_temp_C,n2.ntc2_temp_C,n3.ntc1_temp_C,n3.ntc2_temp_C,n4.ntc1_temp_C,n4.ntc2_temp_C,n5.ntc1_temp_C,n5.ntc2_temp_C,n6.ntc1_temp_C,n6.ntc2_temp_C,n7.ntc1_temp_C,n7.ntc2_temp_C,n8.ntc1_temp_C,n8.ntc2_temp_C,n9.ntc1_temp_C,n9.ntc2_temp_C,n10.ntc1_temp_C,n10.ntc2_temp_C,n11.ntc1_temp_C,n11.ntc2_temp_C,n12.ntc1_temp_C,n12.ntc2_temp_C,n13.ntc1_temp_C,n13.ntc2_temp_C,n14.ntc1_temp_C,n14.ntc2_temp_C,n15.ntc1_temp_C,n15.ntc2_temp_C,n16.ntc1_temp_C,n16.ntc2_temp_C,n17.ntc1_temp_C,n17.ntc2_temp_C,n18.ntc1_temp_C,n18.ntc2_temp_C,n19.ntc1_temp_C,n19.ntc2_temp_C,n20.ntc1_temp_C,n20.ntc2_temp_C,n21.ntc1_temp_C,n21.ntc2_temp_C,n22.ntc1_temp_C,n22.ntc2_temp_C,n23.ntc1_temp_C,n23.ntc2_temp_C,n24.ntc1_temp_C,n24.ntc2_temp_C,n25.ntc1_temp_C,n25.ntc2_temp_C,n26.ntc1_temp_C,n26.ntc2_temp_C,n27.ntc1_temp_C,n27.ntc2_temp_C,n28.ntc1_temp_C,n28.ntc2_temp_C,n29.ntc1_temp_C,n29.ntc2_temp_C,n30.ntc1_temp_C,n30.ntc2_temp_C,n31.ntc1_temp_C,n31.ntc2_temp_C,n32.ntc1_temp_C,n32.ntc2_temp_C,n33.ntc1_temp_C,n33.ntc2_temp_C,n34.ntc1_temp_C,n34.ntc2_temp_C,n35.ntc1_temp_C,n35.ntc2_temp_C,n1.pressure_hPa,n2.pressure_hPa,n3.pressure_hPa,n4.pressure_hPa,n5.pressure_hPa,n6.pressure_hPa,n7.pressure_hPa,n8.pressure_hPa,n9.pressure_hPa,n10.pressure_hPa,n11.pressure_hPa,n12.pressure_hPa,n13.pressure_hPa,n14.pressure_hPa,n15.pressure_hPa,n16.pressure_hPa,n17.pressure_hPa,n18.pressure_hPa,n19.pressure_hPa,n20.pressure_hPa,n21.pressure_hPa,n22.pressure_hPa,n23.pressure_hPa,n24.pressure_hPa,n25.pressure_hPa,n26.pressure_hPa,n27.pressure_hPa,n28.pressure_hPa,n29.pressure_hPa,n30.pressure_hPa,n31.pressure_hPa,n32.pressure_hPa,n33.pressure_hPa,n34.pressure_hPa,n35.pressure_hPa,n1.gnd,n2.gnd,n3.gnd,n4.gnd,n5.gnd,n6.gnd,n7.gnd,n8.gnd,n9.gnd,n10.gnd,n11.gnd,n12.gnd,n13.gnd,n14.gnd,n15.gnd,n16.gnd,n17.gnd,n18.gnd,n19.gnd,n20.gnd,n21.gnd,n22.gnd,n23.gnd,n24.gnd,n25.gnd,n26.gnd,n27.gnd,n28.gnd,n29.gnd,n30.gnd,n31.gnd,n32.gnd,n33.gnd,n34.gnd,n35.gnd
231709,2026-03-06T21:06:46Z,2026-03-06T21:06:37Z,2026-03-06T21:03:14Z,6645,-37.02818252000003,-31.86885361989289,-31.790363892587038,-40.35485683085412,-40.29697404371365,-40.35354870086172,-40.37360909622993,-40.3924019537545,-40.33092244978607,-40.48525167780974,-40.51890602965014,-40.51119797479748,-40.496430959760545,-40.655380321560415,-40.68062572293891,-40.80156771467702,-40.74617865506934,-40.7899821662713,-40.838523833871704,-40.7966988016006,-40.86181859123451,-40.83501331278893,-40.88903719920677,-40.831263064182934,-40.93713841199403,-34.172574971800856,-34.22021177476478,-35.06921511179797,-35.10509773887773,-34.58348720930246,-34.56495891898851,-33.77283032857923,-33.78814457290835,-33.89988420763183,-33.87888505718141,-35.557804720481585,-35.520374260915275,-37.37685338129424,-37.38648385786681,-38.76399382590941,-38.763561974599355,-39.5751714368117,-39.602840250599314,-40.05152127310109,-40.04599779747852,-40.27215811305683,-40.27189844664028,-40.36084318264099,-40.41657394382156,-40.377166754435564,-40.42165893130317,-35.15114182352431,-35.21501637496982,-35.464310636974176,-35.476057718171916,-35.537747420376405,-35.44607404878056,-35.46638391623097,-35.42044236949073,-34.948199858189554,-34.974731500141246,-34.14820373373303,-34.163580098070724,-33.62507105461256,-33.652356416774154,-33.40139840013725,-33.386615758440456,-33.465030239227985,-33.503370958539136,-33.787186337563355,-33.74424545997553,680.239,683.731,682.86,683.547,683.602,684.455,685.94,686.865,687.323,685.809,690.554,691.772,680.444,680.258,680.255,680.28,680.356,680.331,678.597,680.41,681.371,680.39,682.081,681.372,681.538,680.256,680.041,680.178,680.228,680.219,680.37,680.277,680.428,680.141,680.254,-833,-779,-839,-830,-814,-789,-868,-873,-844,-800,-810,-832,-751,-849,-897,-764,-831,-855,-831,-835,-806,-781,-814,-829,-833,-838,-800,-813,-826,-770,-811,-757,-858,-820,-776
231709,2026-03-07T09:06:46Z,2026-03-07T09:06:33Z,2026-03-07T09:03:14Z,6645,-37.03245322000001,-34.78877389865977,-34.6922136403941,-40.39067076361212,-40.33267913932781,-40.35752013247924,-40.377478921862036,-40.39980893731749,-40.33827304672019,-40.49691875221484,-40.5305306841359,-40.52763503081104,-40.512819576552204,-40.66531229097549,-40.690465335274354,-40.805203050988695,-40.74972397700887,-40.792723866270194,-40.841163882389594,-40.798411444507764,-40.863406653705226,-40.83600632756975,-40.889924225563334,-40.83194653926529,-40.93784976720471,-34.99961132789852,-35.018000419762785,-34.85719186641634,-34.89418354660782,-34.54720383645386,-34.53058763555944,-33.87411982732792,-33.8894033936601,-33.966016160050515,-33.944747827963766,-35.56375945209004,-35.526229719637854,-37.36626047226568,-37.37587452659082,-38.75134684396696,-38.75084186722583,-39.56473860247007,-39.59244903982906,-40.04437975914385,-40.03883181919636,-40.267938377433126,-40.26769639647577,-40.3587162184655,-40.41448448773659,-40.37644228345161,-40.42089385950905,-34.91032061760049,-34.97349106956551,-35.13380810208733,-35.145446685053116,-35.20560652671958,-35.11340357254218,-35.21024548075869,-35.16306692996338,-34.81600373583237,-34.84350779374938,-34.17980194922566,-34.19489203496255,-33.72695755122703,-33.75394887536885,-33.50649863947456,-33.491531843851476,-33.54503609819568,-33.583162906245434,-33.84193578172227,-33.79906245609297,678.906,682.592,681.914,682.409,682.463,683.322,684.81,685.735,686.313,684.656,689.435,690.666,679.22,679.105,679.099,679.125,679.2,679.184,677.483,679.255,680.229,679.238,680.959,680.238,680.42,679.084,678.895,679.04,679.086,679.074,679.223,679.127,679.288,679,679.109,-835,-789,-836,-821,-825,-790,-860,-875,-847,-798,-802,-830,-751,-842,-892,-759,-821,-853,-834,-840,-806,-780,-811,-819,-833,-831,-799,-812,-827,-763,-805,-749,-860,-824,-774
231709,2026-03-07T21:06:47Z,2026-03-07T21:06:37Z,2026-03-07T21:03:14Z,6636,-37.02574212000002,-37.9400696517998,-37.85880373535983,-40.371229339628854,-40.31330521821525,-40.35489218527786,-40.37486961785041,-40.39475722547209,-40.333256830055035,-40.48889606967947,-40.52244831568416,-40.516920369369444,-40.50199036020632,-40.658603279331516,-40.683771073987856,-40.8023158416558,-40.74686316540965,-40.790508302436706,-40.83890349446048,-40.796961838882794,-40.86201126295188,-40.83508340852268,-40.88908972089007,-40.83123969736718,-40.93720255094223,-35.03536837380719,-35.05414562229285,-34.86685128360557,-34.90013136668682,-34.51994033293897,-34.504183033146745,-33.963341175923745,-33.978791540026606,-34.034960394703575,-34.01349406085154,-35.57072405817752,-35.53311579286205,-37.35533847334142,-37.3649926603093,-38.738197423544506,-38.73774707727014,-39.55393857162133,-39.58165497252793,-40.036952736036625,-40.031398079575126,-40.263470405943025,-40.263234307223655,-40.356377050122404,-40.412106529806834,-40.375429185769264,-40.41992867661105,-35.14952231573784,-35.21380383047696,-35.180572729704835,-35.192488419979185,-35.18047325048269,-35.08905225027152,-35.0931008345936,-35.04707115954153,-34.74905859469058,-34.77573471661202,-34.217985016157684,-34.232854664805956,-33.81761637999338,-33.84481965909873,-33.61207506390858,-33.597091735148354,-33.63014758358307,-33.66837419448703,-33.90400694556871,-33.861092923091036,680.773,684.614,683.565,684.421,684.482,685.349,686.844,687.774,688.031,686.67,691.493,692.738,681.159,681.068,681.071,681.083,681.159,681.141,679.412,681.217,682.201,681.188,682.957,682.207,682.404,681.033,680.848,680.987,681.035,681.026,681.179,681.078,681.232,680.947,681.061,-835,-784,-839,-828,-821,-793,-861,-869,-852,-798,-803,-831,-752,-842,-890,-772,-830,-860,-838,-844,-805,-787,-815,-827,-840,-838,-800,-807,-831,-769,-800,-763,-862,-824,-773
231709,2026-03-08T09:06:38Z,2026-03-08T09:06:30Z,2026-03-08T09:03:14Z,6645,-37.04782774000003,-38.247762879120955,-38.16168985852735,-40.44738260374328,-40.38879230069924,-40.38170772915109,-40.40117482033074,-40.43088013986724,-40.36941499922301,-40.52703003725506,-40.56075851700908,-40.558345834000846,-40.54366786276668,-40.68013955410959,-40.70526247748913,-40.809983570101,-40.75441562563586,-40.79742361247031,-40.845579263146476,-40.80164954154961,-40.86654761674086,-40.8381208067627,-40.89199584500514,-40.83414295018207,-40.93996045753778,-37.2628279459272,-37.25428942024695,-35.000464357864416,-35.02834359286675,-34.4891284721877,-34.47444623525982,-34.03166084070202,-34.04734807515243,-34.09941081948406,-34.077682911039915,-35.57838299708746,-35.54068377684638,-37.34514834867386,-37.35477346586603,-38.72556782867508,-38.72512344835934,-39.54357912440352,-39.57130125200439,-40.02985073289804,-40.024313109186636,-40.25936213925914,-40.25910831356265,-40.354232232208346,-40.41002278777685,-40.374757703570396,-40.41921654894236,-36.017275730796314,-36.08135685087828,-35.34690254145559,-35.35882483458403,-35.131390962896205,-35.0399953441933,-35.00205707199754,-34.955159841782944,-34.652009268750646,-34.67959026841234,-34.211869223474565,-34.22646910408767,-33.8747456016595,-33.901739499846656,-33.693289066091154,-33.67813344539701,-33.70697320782659,-33.744990910935684,-33.96310110326971,-33.92019773286779,677.842,681.762,681.286,681.571,681.634,682.495,683.992,684.923,685.569,683.804,688.64,689.899,678.242,678.187,678.206,678.218,678.296,678.278,676.633,678.35,679.35,678.327,680.119,679.353,679.568,678.118,677.968,678.125,678.179,678.169,678.317,678.223,678.385,678.098,678.214,-835,-784,-840,-824,-816,-788,-861,-862,-845,-799,-814,-842,-739,-834,-897,-762,-833,-853,-830,-844,-806,-779,-805,-819,-827,-831,-797,-810,-827,-761,-805,-763,-856,-824,-774
231709,2026-03-08T21:06:43Z,2026-03-08T21:06:33Z,2026-03-08T21:03:14Z,6645,-37.027084340000016,-42.29887458766757,-42.21763610924077,-40.45649946267193,-40.400750929292826,-40.37818570936463,-40.398083871988604,-40.43500475516362,-40.374669350027546,-40.53360237625955,-40.56873546665108,-40.56651095911192,-40.55279802219178,-40.682722643403395,-40.708125420104324,-40.81094780656892,-40.7554393121971,-40.798130878591905,-40.846461129889775,-40.80228077342579,-40.86720147562312,-40.8384537424071,-40.89233429959313,-40.834621943343564,-40.94061930345532,-37.392292458167674,-37.38599454426864,-35.40861866237384,-35.43069449311852,-34.49010166833304,-34.47546039464075,-34.09370503617933,-34.109603767910016,-34.16445990979719,-34.14261501439296,-35.58874997202079,-35.55100192376855,-37.33604862519505,-37.345763718362264,-38.71353154498138,-38.71309313932099,-39.53351087101137,-39.561244553536255,-40.0228544939105,-40.01732205829265,-40.25524765299997,-40.25501151790775,-40.35227000254892,-40.40800371830562,-40.374121554833124,-40.41862212116152,-36.57718111980017,-36.641957138191,-35.84683351614456,-35.85886763976919,-35.50153340121477,-35.411202531191606,-35.16355128594168,-35.118319750797184,-34.66074114808896,-34.68748879166628,-34.240607017292575,-34.25518829268245,-33.93539253641458,-33.96242203172176,-33.77546477614638,-33.76040021512455,-33.78422873971377,-33.82232046454362,-34.02504026281713,-33.98210291655337,672.171,676.314,676.747,676.102,676.171,677.028,678.513,679.442,680.752,678.309,683.136,684.4,672.688,672.672,672.704,672.713,672.785,672.766,671.254,672.833,673.836,672.804,674.62,673.841,674.065,672.61,672.452,672.605,672.662,672.659,672.808,672.705,672.865,672.577,672.692,-838,-787,-847,-832,-820,-789,-865,-874,-846,-803,-802,-836,-751,-845,-900,-769,-833,-864,-836,-843,-802,-761,-816,-824,-833,-832,-800,-816,-828,-767,-806,-756,-866,-823,-773
231709,2026-03-09T09:06:45Z,2026-03-09T09:06:36Z,2026-03-09T09:03:14Z,6645,-37.00518175000002,-41.41930366240001,-41.33793383347282,-40.445947294388105,-40.38770876888674,-40.385912649272086,-40.40544886942203,-40.43758174514497,-40.376130110029976,-40.534189678281734,-40.567943106210294,-40.564033960907324,-40.54940448112001,-40.684268925166464,-40.70940754919843,-40.81318594033931,-40.75762701391949,-40.79960967902835,-40.84778682421472,-40.80317500646683,-40.86808884346678,-40.83905535798169,-40.89295868466263,-40.83494321696824,-40.94087584317191,-40.032583754837475,-40.00065004761268,-35.859883885881914,-35.87492902270969,-34.51841420935244,-34.50334533255801,-34.14270373112012,-34.158832829672775,-34.22348015831861,-34.201678434964464,-35.60056357211366,-35.5627550257791,-37.32824730594285,-37.33780717822515,-38.70227783137855,-38.7018515010769,-39.52394954110028,-39.5516945058061,-40.016319871644015,-40.01089349726573,-40.25149888500687,-40.25130405994153,-40.350513952621014,-40.406225932994374,-40.37368567081322,-40.41822190868615,-37.92738347266939,-37.99179254432562,-36.40479479188534,-36.41685195632559,-35.78538607558744,-35.695366271010215,-35.33978433207122,-35.29381365625508,-34.68152640578177,-34.70910515969038,-34.251099606936435,-34.26554736720627,-33.976535785826655,-34.00352676269253,-33.83771621876616,-33.82255461906891,-33.851130320293635,-33.88912157101879,-34.08149087561853,-34.038540266247054,657.844,666.804,668.919,666.584,666.658,667.505,668.971,669.89,672.401,668.756,673.546,674.811,663.135,663.148,663.206,663.209,663.28,663.264,661.96,663.329,664.327,663.295,665.119,664.328,664.565,663.028,662.913,663.082,663.144,663.14,663.289,663.181,663.34,663.047,663.16,-834,-784,-837,-827,-821,-788,-870,-859,-854,-805,-806,-823,-754,-836,-891,-758,-824,-855,-831,-837,-800,-774,-801,-823,-828,-832,-794,-814,-829,-765,-802,-751,-860,-824,-776
231709,2026-03-09T21:06:44Z,2026-03-09T21:06:32Z,2026-03-09T21:03:14Z,6636,-37.01000154000002,-40.16968638540192,-40.09118192964618,-40.43090367636455,-40.373131975224595,-40.37960514631371,-40.39935559783302,-40.43092132873082,-40.36957994178155,-40.5289977102662,-40.56303608648929,-40.559132462485735,-40.54458388300816,-40.68189091346247,-40.70710086653111,-40.812519768822824,-40.756919237415275,-40.79893165677518,-40.847132741031146,-40.802672367420826,-40.86756342997424,-40.83872826681343,-40.89260856303889,-40.83451679885124,-40.94045605030823,-39.4110086449557,-39.40990440345493,-36.522865354926296,-36.53277376182888,-34.598879771253934,-34.58263786668175,-34.19431281417377,-34.21056828978169,-34.281749903888,-34.25978665212506,-35.6138683473192,-35.57587612757922,-37.32070215069177,-37.33020719282547,-38.690990947152955,-38.690509686374355,-39.51421270629518,-39.54199898562081,-40.009505678102556,-40.004031142334725,-40.24751368524079,-40.24733065409839,-40.34858694602181,-40.404336236248355,-40.373190879280656,-40.41759215660076,-38.52112570082508,-38.58581781621368,-37.19816387429782,-37.20998965507107,-36.459809365917266,-36.37081986989779,-35.768334047074376,-35.72410195347584,-34.82518521247141,-34.8517456156051,-34.31483240092402,-34.329376537524524,-34.0329136123685,-34.05996397250118,-33.90498258910026,-33.889939537777366,-33.91818545465574,-33.95630979599562,-34.139386939052116,-34.09632912772955,653.557,659.911,663.153,659.687,659.773,660.615,662.071,662.983,666.275,661.833,666.613,667.884,656.324,656.256,656.325,656.329,656.402,656.391,655.239,656.451,657.46,656.424,658.255,657.459,657.711,656.199,656.047,656.219,656.272,656.28,656.432,656.321,656.476,656.186,656.294,-836,-784,-841,-824,-823,-793,-860,-865,-845,-803,-800,-835,-745,-841,-898,-768,-831,-859,-835,-848,-801,-774,-811,-825,-838,-828,-796,-814,-828,-771,-803,-754,-862,-826,-762
231709,2026-03-10T09:06:35Z,2026-03-10T09:06:26Z,2026-03-10T09:03:14Z,6645,-36.98767188000002,-35.249838695887604,-35.173973365794865,-40.3068948374314,-40.24869451621939,-40.356206174902866,-40.376283251934126,-40.396606041894444,-40.3350075487308,-40.48528694728478,-40.51870629193456,-40.50544560098055,-40.49031849207134,-40.6502407814462,-40.675365501805146,-40.800509799398384,-40.745090441910776,-40.78920464492313,-40.837711935743215,-40.796710492172565,-40.861789398492874,-40.835118456356895,-40.889054706439964,-40.83127474758717,-40.93713258117694,-39.801923155403614,-39.80749655047893,-36.85747130523623,-36.86856880772925,-34.71958954289585,-34.70225274472324,-34.24272347635687,-34.258977220719515,-34.33329334263391,-34.3113007168065,-35.62645410512263,-35.58836290151004,-37.31245182748731,-37.322046681512745,-38.678970125396404,-38.678555769172306,-39.50393487216019,-39.53170292003361,-40.00229316840688,-39.99682380743033,-40.243091240836634,-40.242866861380634,-40.346206084197746,-40.401928396198315,-40.3721718300437,-40.41666222892411,-38.7946572847618,-38.85817041957648,-37.52240198121001,-37.53404399970617,-36.785101957195025,-36.69560938070188,-36.10821572588321,-36.06304107929947,-34.99218646900454,-35.01937923270643,-34.3798954741917,-34.394474147187594,-34.083042657091795,-34.10994530370587,-33.958539410573195,-33.94344386524776,-33.97540442593629,-34.01341871730921,-34.189889981145086,-34.14705740173801,651.763,660.404,663.408,660.166,660.258,661.118,662.584,663.489,666.531,662.319,667.127,668.416,656.848,656.728,656.796,656.804,656.877,656.865,655.708,656.929,657.951,656.897,658.765,657.948,658.216,656.67,656.515,656.688,656.751,656.758,656.916,656.806,656.963,656.677,656.786,-841,-791,-841,-831,-814,-796,-861,-862,-847,-802,-807,-836,-748,-843,-890,-756,-835,-854,-829,-839,-799,-786,-809,-824,-830,-835,-802,-818,-838,-762,-804,-753,-861,-829,-781
231709,2026-03-10T21:06:43Z,2026-03-10T21:06:32Z,2026-03-10T21:03:14Z,6645,-36.97766624000002,-39.3594430515642,-39.278978647743116,-40.29969330246081,-40.24191028573304,-40.35227589523751,-40.37228374968683,-40.393491279677306,-40.33190691039354,-40.482524102652604,-40.51604501103506,-40.50542209667927,-40.4903772690584,-40.649601968373275,-40.67472697783205,-40.79908362799051,-40.74370381706618,-40.78825757431778,-40.83678320343236,-40.79599736283532,-40.86111212266249,-40.83473877032765,-40.88868705341008,-40.830906719191745,-40.93680022362037,-38.359413178476956,-38.37998820173172,-37.0303846418125,-37.045654313150436,-34.87752452172572,-34.85865030723397,-34.30200120620586,-34.31809210667981,-34.38422699708363,-34.36225214920378,-35.639579514676484,-35.60148830244134,-37.30416846735457,-37.31376520064234,-38.666659737764235,-38.66620870142327,-39.49333139030878,-39.52108138415909,-39.994658446228016,-39.98922981621831,-40.23833183196791,-40.238113337731505,-40.34350686098077,-40.39931438496424,-40.37092891734855,-40.41548508239532,-38.32866213148387,-38.39284134370078,-37.644847983209075,-37.65636345916519,-37.084119900147414,-36.99466178076838,-36.41865026253686,-36.37442055152087,-35.2220258331393,-35.248316145924605,-34.500440252077055,-34.515186177447134,-34.15744808980219,-34.18444416378114,-34.02263682856949,-34.00759622790389,-34.034262174643345,-34.07247278524591,-34.24202254085003,-34.19915072085536,658.12,664.65,666.849,664.423,664.513,665.389,666.869,667.783,670.137,666.587,671.459,672.757,661.064,660.944,660.997,661.005,661.078,661.074,659.837,661.135,662.176,661.102,663.022,662.182,662.466,660.918,660.74,660.9,660.965,660.967,661.131,661.019,661.183,660.892,661.004,-844,-780,-842,-825,-822,-784,-858,-859,-856,-798,-805,-838,-754,-842,-888,-767,-832,-859,-837,-846,-817,-781,-812,-825,-837,-829,-802,-821,-827,-768,-803,-761,-865,-823,-777
231709,2026-03-11T09:06:35Z,2026-03-11T09:06:28Z,2026-03-11T09:03:14Z,6645,-36.96528121000003,-33.672316958875456,-33.57737201543165,-40.26940204376146,-40.21147394221052,-40.34817442800056,-40.36831929656552,-40.38935761302045,-40.327821575756644,-40.47631012993011,-40.509787847226505,-40.49717733921858,-40.48220666047476,-40.64341271920165,-40.66854638948129,-40.795985672115165,-40.74065546189945,-40.786088605588645,-40.83465115011222,-40.79462368658352,-40.85974586918013,-40.83387424492244,-40.88789921747377,-40.83033422580772,-40.93615882637266,-38.97095486003295,-38.98652190563442,-37.0272654972963,-37.04466771029314,-35.028656573597175,-35.00932670632747,-34.366300983669106,-34.382186704983155,-34.43146012855706,-34.40933814572722,-35.652798659328255,-35.614504289850345,-37.296103515477,-37.30565179832743,-38.65437658012266,-38.65396200512777,-39.48271366657184,-39.510559406351604,-39.987058205718824,-39.981575376036744,-40.23361924396292,-40.23337710725082,-40.34085465388182,-40.39671202308594,-40.3696918668019,-40.414219621351094,-38.437547736113544,-38.500932084020604,-37.60479737764925,-37.61620497815008,-37.06946481658457,-36.97939865639873,-36.517990317186985,-36.47242721001638,-35.38171481790508,-35.40855933677702,-34.60924786144676,-34.6239157569388,-34.23240539850039,-34.25948736870939,-34.08108753797757,-34.06595562541233,-34.087800116650726,-34.125713830716506,-34.2891450022297,-34.24627557776793,660.057,669.587,670.912,669.36,669.45,670.345,671.842,672.762,674.386,671.533,676.468,677.785,665.968,665.823,665.873,665.889,665.96,665.953,664.634,666.007,667.075,665.976,667.944,667.078,667.379,665.778,665.607,665.768,665.834,665.832,665.988,665.884,666.051,665.763,665.877,-840,-780,-841,-826,-824,-792,-864,-865,-852,-810,-806,-831,-755,-835,-893,-762,-831,-854,-835,-844,-800,-783,-808,-820,-830,-838,-803,-818,-831,-762,-803,-759,-858,-816,-775
