modem,recv_time_utc,start_time_utc,time_utc,battery_mv,adc_temp_C,n1.ntc1_temp_C,n1.ntc2_temp_C,n2.ntc1_temp_C,n2.ntc2_temp_C,n3.ntc1_temp_C,n3.ntc2_temp_C,n4.ntc1_temp_C,n4.ntc2_temp_C,n5.ntc1_temp_C,n5.ntc2_temp_C,n6.ntc1_temp_C,n6.ntc2_temp_C,n7.ntc1_temp_C,n7.ntc2_temp_C,n8.ntc1_temp_C,n8.ntc2_temp_C,n9.ntc1_temp_C,n9.ntc2_temp_C,n10.ntc1_temp_C,n10.ntc2_temp_C,n11.ntc1_temp_C,n11.ntc2_temp_C,n12.ntc1_temp_C,n12.ntc2_temp_C,n13.ntc1_temp_C,n13.ntc2_temp_C,n14.ntc1_temp_C,n14.ntc2_temp_C,n15.ntc1_temp_C,n15.ntc2_temp_C,n16.ntc1_temp_C,n16.ntc2_temp_C,n17.ntc1_temp_C,n17.ntc2_temp_C,n18.ntc1_temp_C,n18.ntc2_temp_C,n19.ntc1_temp_C,n19.ntc2_temp_C,n20.ntc1_temp_C,n20.ntc2_temp_C,n21.ntc1_temp_C,n21.ntc2_temp_C,n22.ntc1_temp_C,n22.ntc2_temp_C,n23.ntc1_temp_C,n23.ntc2_temp_C,n24.ntc1_temp_C,n24.ntc2_temp_C,n25.ntc1_temp_C,n25.ntc2_temp_C,n26.ntc1_temp_C,n26.ntc2_temp_C,n27.ntc1_temp_C,n27.ntc2_temp_C,n28.ntc1_temp_C,n28.ntc2_temp_C,n29.ntc1_temp_C,n29.ntc2_temp_C,n30.ntc1_temp_C,n30.ntc2_temp_C,n31.ntc1_temp_C,n31.ntc2_temp_C,n32.ntc1_temp_C,n32.ntc2_temp_C,n33.ntc1_temp_C,n33.ntc2_temp_C,n34.ntc1_temp_C,n34.ntc2_temp_C,n35.ntc1_temp_C,n35.ntc2_temp_C,n1.pressure_hPa,n2.pressure_hPa,n3.pressure_hPa,n4.pressure_hPa,n5.pressure_hPa,n6.pressure_hPa,n7.pressure_hPa,n8.pressure_hPa,n9.pressure_hPa,n10.pressure_hPa,n11.pressure_hPa,n12.pressure_hPa,n13.pressure_hPa,n14.pressure_hPa,n15.pressure_hPa,n16.pressure_hPa,n17.pressure_hPa,n18.pressure_hPa,n19.pressure_hPa,n20.pressure_hPa,n21.pressure_hPa,n22.pressure_hPa,n23.pressure_hPa,n24.pressure_hPa,n25.pressure_hPa,n26.pressure_hPa,n27.pressure_hPa,n28.pressure_hPa,n29.pressure_hPa,n30.pressure_hPa,n31.pressure_hPa,n32.pressure_hPa,n33.pressure_hPa,n34.pressure_hPa,n35.pressure_hPa,n1.gnd,n2.gnd,n3.gnd,n4.gnd,n5.gnd,n6.gnd,n7.gnd,n8.gnd,n9.gnd,n10.gnd,n11.gnd,n12.gnd,n13.gnd,n14.gnd,n15.gnd,n16.gnd,n17.gnd,n18.gnd,n19.gnd,n20.gnd,n21.gnd,n22.gnd,n23.gnd,n24.gnd,n25.gnd,n26.gnd,n27.gnd,n28.gnd,n29.gnd,n30.gnd,n31.gnd,n32.gnd,n33.gnd,n34.gnd,n35.gnd
231709,2026-01-19T09:07:13Z,2026-01-19T09:07:01Z,2026-01-18T09:03:14Z,6724,-37.27679827000003,-18.922380139022465,-18.8379059216403,-44.020910758837545,-44.02066665740915,-43.87031118275439,-43.869508167999186,-43.89066119133773,-43.88884705355443,-43.98721259092724,-43.98708529550615,-44.104910634127236,-44.105039162990636,-44.243204732975414,-44.24323256964726,-44.327001011248,-44.3269491528539,-44.38184342608591,-44.381831764069204,-44.43614338834362,-44.436018216702934,-44.4800085717699,-44.48026805354232,-44.50989704436725,-44.509184800377426,-24.696892589633933,-24.742846922993465,-28.137822096852858,-28.161641391896012,-31.107073018173367,-31.12492043676218,-34.0645405187162,-34.08187005466925,-36.79310541953154,-36.80648986933082,-40.57544805816394,-40.581112415330324,-42.66938150811103,-42.67298463984261,-43.687483600730786,-43.68814099100507,-44.04964970295666,-44.049517276535454,-44.109527050836846,-44.108471349836265,-44.04846762683755,-44.04774653903965,-43.96699947589454,-43.96658733053522,-43.90130865937499,-43.901361312291584,-25.094724004669303,-25.092167811627377,-26.57717842925163,-26.578743801428885,-27.181109592196407,-27.179397908420498,-27.780012309328157,-27.777455993092474,-29.164670784767907,-29.1689830057731,-30.675015519337876,-30.67397163329852,-31.882220517420222,-31.8823615069264,-33.09561900651883,-33.100695854087235,-34.8424042567284,-34.84746443569708,-36.282263142441934,-36.28606996352772,676.869,677.443,676.198,677.86,678.163,678.6,679.246,679.747,680.502,680.893,682.157,683.312,677.32,677.127,677.092,677.013,677.04,676.975,677.479,677.304,677.359,677.466,677.392,677.717,677.75,677.245,676.995,677.109,677.13,677.084,677.192,677.064,677.204,676.873,676.957,-801,-755,-812,-807,-783,-771,-831,-834,-824,-762,-792,-810,-724,-806,-868,-732,-787,-816,-806,-828,-769,-736,-779,-794,-800,-820,-775,-796,-800,-746,-781,-735,-838,-803,-750
231709,2026-01-19T21:07:06Z,2026-01-19T21:06:54Z,2026-01-18T21:03:14Z,6706,-37.438657800000016,-20.83327036056633,-20.75733634551196,-44.01957890607193,-44.01930796947835,-43.86839264031036,-43.867668072170346,-43.889535994217084,-43.88789752538821,-43.99352353627776,-43.99364449676381,-44.115763610451694,-44.11610491163566,-44.25105453191475,-44.25115978911526,-44.330184655798575,-44.32988844668614,-44.38402586534471,-44.384047062594476,-44.437494573991444,-44.437290332385885,-44.48091719905295,-44.4810723852207,-44.510618194729176,-44.50994950960535,-23.379961251932485,-23.430260691176443,-27.794702497441364,-27.82287221226383,-31.16254180145276,-31.180113103221828,-34.06352078694741,-34.08056817846932,-36.76071656414058,-36.77413823665421,-40.539464412059374,-40.544954394175676,-42.64381635877234,-42.64764069534135,-43.673149474999406,-43.67410882993207,-44.04304326981037,-44.04287835192173,-44.10778647516884,-44.106742311807324,-44.0491857169599,-44.04854937448877,-43.96900583805373,-43.968376136218666,-43.903469326888484,-43.90367545324074,-24.20308509213376,-24.203455717193805,-26.065184307232755,-26.06671819466871,-26.936574973163374,-26.935629710029502,-27.643430706601634,-27.64195937160548,-29.227061572499082,-29.229817672103195,-30.73613450147269,-30.735515369592434,-31.90870475753823,-31.90920638793682,-33.09464589346857,-33.099722269172275,-34.81915083973945,-34.82438610600016,-36.25054301653154,-36.2539667407228,678.3,678.592,677.406,679.013,679.317,679.75,680.418,680.924,681.629,682.05,683.339,684.493,678.467,678.29,678.251,678.171,678.208,678.139,678.723,678.471,678.525,678.628,678.556,678.888,678.92,678.396,678.153,678.272,678.295,678.248,678.353,678.235,678.355,678.036,678.114,-811,-765,-812,-798,-801,-761,-833,-843,-821,-771,-778,-805,-720,-816,-863,-741,-805,-836,-810,-811,-791,-739,-784,-798,-809,-806,-766,-789,-810,-736,-778,-730,-838,-798,-742
231709,2026-01-20T09:07:07Z,2026-01-20T09:06:59Z,2026-01-19T09:03:15Z,6697,-37.470260980000035,-20.638238857655068,-20.549382262432943,-43.99960450878447,-43.99876754169085,-43.872897525887964,-43.87220601003318,-43.90677167077283,-43.90562853794711,-44.018532876804414,-44.01956834834982,-44.136564116334824,-44.13733643099235,-44.26100544038155,-44.26129853916987,-44.33362802724423,-44.33336731837301,-44.386857738691674,-44.38669753382797,-44.43933292417219,-44.439146541710954,-44.4820529666697,-44.48223994722707,-44.51160570397542,-44.51101879264465,-25.324843728600342,-25.33920512664136,-27.460882464917376,-27.489686187873986,-31.14711575452074,-31.165993405495442,-34.04852905617469,-34.065273721784564,-36.72159268241768,-36.73490492031692,-40.50067252132439,-40.50621525025625,-42.61737951069247,-42.62122458783844,-43.65879251357575,-43.65972553830886,-44.03635784318166,-44.03623877757573,-44.10601325873998,-44.10481095707968,-44.0501649184973,-44.04952190224682,-43.97097292974033,-43.97041949498393,-43.90564956604425,-43.9058130208947,-24.341921829403134,-24.340241963846722,-25.629724945836045,-25.630671275350466,-26.395091592725294,-26.39237060153613,-27.318514680145967,-27.313438476644677,-29.119123774933,-29.124105426617945,-30.72859106518996,-30.727580461678798,-31.917175334956,-31.917124183805328,-33.09859639915166,-33.10300072992425,-34.80809388460264,-34.8128455960524,-36.225741560398916,-36.2293566656206,677.074,677.344,676.34,677.761,678.06,678.496,679.175,679.678,680.341,680.788,682.096,683.241,677.197,677.03,676.984,676.91,676.939,676.878,677.538,677.205,677.253,677.358,677.284,677.614,677.647,677.103,676.877,677.001,677.024,676.984,677.084,676.961,677.088,676.759,676.842,-809,-770,-814,-810,-791,-776,-838,-843,-821,-780,-783,-807,-727,-816,-869,-736,-798,-840,-809,-808,-785,-764,-788,-800,-806,-808,-763,-786,-806,-737,-783,-730,-828,-794,-751
231709,2026-01-20T21:07:07Z,2026-01-20T21:07:01Z,2026-01-19T21:03:14Z,6689,-37.47788723000002,-22.29760895515946,-22.220345352550027,-44.020923816088356,-44.020647061143194,-43.87120168189645,-43.870536242070216,-43.89308160915513,-43.89149911187184,-43.995862225783725,-43.995967802959626,-44.11527418700433,-44.11551704830424,-44.251549182546285,-44.251712968424926,-44.33085385252045,-44.33068177472086,-44.38470786366139,-44.38469669708999,-44.4379427980916,-44.43782902752898,-44.481209255332516,-44.481474547638015,-44.51088456371747,-44.510221692265134,-23.674973843994138,-23.71275012053161,-27.467620983850082,-27.49419824520487,-31.12505596202081,-31.14410651467398,-34.04852095962141,-34.06507956797472,-36.69206279068598,-36.705330502386374,-40.46378158500883,-40.46933654243304,-42.59114452156564,-42.595063911119155,-43.64400555187325,-43.64487919245332,-44.02937791841711,-44.029291663501965,-44.10403789345702,-44.10276209525685,-44.05079812795694,-44.05007016677476,-43.97274391650694,-43.972195143163844,-43.90753512095728,-43.907787105380464,-24.199574651487097,-24.198937753111892,-25.749145460817573,-25.750024203263735,-26.54128758485507,-26.54004721576746,-27.30151685020465,-27.299238839832412,-29.129884692478157,-29.13245352154101,-30.784275290734,-30.783146702303213,-31.960545200406415,-31.960780657484577,-33.133175602973125,-33.137821788313516,-34.812591618022,-34.81755093946211,-36.212853703877926,-36.216228145964436,676.012,676.353,675.601,676.773,677.068,677.501,678.189,678.69,679.305,679.791,681.117,682.261,676.221,676.06,676.014,675.935,675.967,675.903,676.652,676.226,676.277,676.387,676.311,676.639,676.672,676.142,675.906,676.021,676.046,676.004,676.109,675.987,676.112,675.785,675.869,-817,-765,-817,-807,-809,-765,-846,-852,-830,-787,-782,-814,-731,-827,-876,-749,-808,-848,-821,-826,-788,-766,-792,-810,-815,-808,-784,-798,-812,-752,-791,-740,-838,-802,-753
231709,2026-01-21T09:07:07Z,2026-01-21T09:07:02Z,2026-01-20T09:03:14Z,6671,-37.49368882000002,-22.52565508386752,-22.427699990807866,-44.00398645090684,-44.00314532098392,-43.87335585466272,-43.87264472642556,-43.901074905573466,-43.89967726062119,-44.009585700734874,-44.010258302466525,-44.13238234167014,-44.133229096817075,-44.25900756394424,-44.25933337743194,-44.33314076795216,-44.332912148743446,-44.38652649336575,-44.38654162650596,-44.439118560733334,-44.43888693494927,-44.481988066156504,-44.48212967830415,-44.51154073668698,-44.51092158575872,-26.22091017469657,-26.22033879686859,-27.327483217762193,-27.352520703815713,-31.063564869446935,-31.08368153923024,-34.02793370210466,-34.04451768532374,-36.65676652611401,-36.66999439669473,-40.42525826593405,-40.43081050199504,-42.5642968829676,-42.56813671426383,-43.62878829379545,-43.62979290237203,-44.022149116919024,-44.0221087476946,-44.101677810994204,-44.10053698760956,-44.05131383025824,-44.05067064188091,-43.97439723102843,-43.97389241032087,-43.909545011579866,-43.90974805889303,-24.86655530553719,-24.865801721134346,-25.640905428272106,-25.641797794176455,-26.250592292752827,-26.24814837397429,-27.12849055942337,-27.12321408125007,-29.006205910423404,-29.0107459627624,-30.74108532664428,-30.739370808506266,-31.96125867848633,-31.96102103330574,-33.14210582383919,-33.14617472560025,-34.80856986068551,-34.81305156615639,-36.19383137216022,-36.197077828221154,675.295,675.628,675.195,676.044,676.331,676.766,677.468,677.961,678.519,679.048,680.399,681.541,675.45,675.302,675.265,675.192,675.219,675.157,675.997,675.482,675.529,675.642,675.561,675.897,675.935,675.375,675.165,675.292,675.316,675.278,675.379,675.256,675.39,675.063,675.148,-820,-776,-828,-809,-803,-778,-850,-856,-831,-785,-783,-812,-731,-821,-874,-742,-805,-834,-817,-824,-786,-762,-791,-807,-811,-815,-783,-794,-814,-740,-784,-739,-841,-812,-753
231709,2026-01-21T21:07:07Z,2026-01-21T21:06:58Z,2026-01-20T21:03:14Z,6680,-37.494176900000014,-22.702866839835508,-22.626789629005714,-44.010868989597554,-44.01046929732385,-43.87308740533581,-43.87241554658158,-43.89838659607065,-43.8967570766975,-44.005340277205136,-44.005593013462004,-44.12771097630201,-44.128063559631045,-44.25713328207061,-44.25734863768025,-44.33231566784448,-44.33208633342173,-44.38597441434095,-44.38587252034529,-44.43886522127852,-44.43856242515534,-44.48176740396414,-44.48186373490222,-44.51130685395293,-44.51071421062551,-24.17256326769413,-24.211736729501325,-27.55328902110969,-27.575043863433876,-31.029616677865533,-31.049407402116344,-34.01687397666578,-34.03349154760724,-36.62990547728944,-36.643074845544476,-40.3885486261166,-40.39418270107382,-42.53753729022924,-42.541404516178915,-43.61326526363288,-43.61431531864679,-44.01450807924951,-44.014526679807744,-44.09915464896193,-44.09799205395706,-44.05150966554703,-44.05090560895192,-43.975939416605286,-43.9753089429793,-43.91133880432375,-43.911512868010846,-24.749343591789653,-24.749298128718664,-25.994527166059925,-25.99558342332935,-26.620431162794603,-26.61957629387399,-27.264769431385503,-27.26305307282442,-29.040744904750113,-29.042960524851026,-30.772793785025584,-30.77117642837041,-31.987621043631663,-31.98759780587349,-33.16818574298193,-33.1724092056005,-34.8114811165818,-34.816069691091656,-36.18197318167492,-36.18505544549342,675.714,676.083,675.991,676.496,676.786,677.224,677.933,678.426,678.899,679.498,680.876,682.026,675.941,675.776,675.734,675.658,675.687,675.621,676.558,675.946,675.993,676.105,676.025,676.361,676.398,675.866,675.633,675.752,675.777,675.736,675.842,675.719,675.855,675.529,675.611,-819,-761,-818,-812,-811,-776,-843,-846,-829,-785,-789,-816,-742,-826,-890,-750,-820,-840,-824,-827,-796,-766,-796,-809,-816,-819,-781,-797,-814,-749,-785,-739,-840,-810,-760
231709,2026-01-22T09:07:11Z,2026-01-22T09:06:59Z,2026-01-21T09:03:14Z,6680,-37.48941812000001,-22.204353163354057,-22.11662289820933,-44.02018607748329,-44.01960845089761,-43.87643312304252,-43.87566982636346,-43.89456652471094,-43.89311648793142,-43.99076665325637,-43.99117100185828,-44.104231857641224,-44.104817045657,-44.24133002202919,-44.24172902906196,-44.326754110333184,-44.32675406260475,-44.38165505760304,-44.381831764069204,-44.43617586907348,-44.4360636498005,-44.48033308285983,-44.48053400292966,-44.51015691922194,-44.50952179189625,-26.852031086137174,-26.84481250302727,-27.488608561477434,-27.51077942680564,-30.984324410258864,-31.004658704497075,-33.98601861504784,-34.00252442624836,-36.59610737205628,-36.60928292339915,-40.35052451401049,-40.35619789468663,-42.51039124618535,-42.5142255501886,-43.59771881570575,-43.59877488743757,-44.00687924032718,-44.006865381195865,-44.0964553488582,-44.09540787013856,-44.05173161152351,-44.05111446788649,-43.977331274056894,-43.97684294257223,-43.9131521882461,-43.913290702820206,-25.359236794584746,-25.358089673711333,-25.917028649863198,-25.918209277033895,-26.416325017778803,-26.414187162142355,-27.192215058643654,-27.18727578962364,-28.962300464876762,-28.966571782911785,-30.721348796657963,-30.719322907753906,-31.971898893716997,-31.971244013118763,-33.164018898946495,-33.16794125113361,-34.8028022112359,-34.807133437482094,-36.162270557372864,-36.16531618845994,675.141,675.47,675.776,675.89,676.166,676.603,677.325,677.821,678.213,678.88,680.28,681.424,675.29,675.154,675.112,675.032,675.067,675.002,676.033,675.325,675.365,675.481,675.392,675.731,675.768,675.201,674.992,675.12,675.148,675.105,675.209,675.086,675.22,674.891,674.972,-818,-767,-822,-808,-801,-782,-843,-848,-835,-779,-790,-813,-727,-823,-876,-746,-807,-839,-817,-828,-781,-759,-800,-804,-817,-818,-783,-802,-807,-757,-793,-747,-844,-810,-761
231709,2026-01-22T21:07:12Z,2026-01-22T21:07:01Z,2026-01-21T21:03:14Z,6680,-37.48014460000002,-22.76779709583559,-22.69107380773025,-44.01670619354232,-44.01628348409943,-43.87547722090608,-43.87472695282807,-43.89612336102496,-43.89453738898891,-43.998625433570794,-43.99896318425911,-44.11978327514163,-44.12029165767814,-44.25240830416871,-44.25270217217792,-44.33050301231572,-44.330272106450195,-44.384435065131896,-44.38439786596351,-44.43789083022685,-44.437738163576086,-44.48124170595551,-44.48145508821875,-44.51091704767154,-44.51025409489344,-24.452930156273595,-24.494551040481724,-27.727321066117014,-27.746643636954246,-30.972639653405167,-30.99211886064316,-33.966556381996526,-33.98315152507203,-36.56900166624604,-36.58213362326822,-40.3144706651901,-40.320135775264816,-42.48316582293177,-42.48730170292592,-43.58182684424321,-43.582809869947226,-43.99891637252793,-43.99889618683369,-44.09361901241519,-44.09243854789881,-44.05173161152351,-44.05107530688534,-43.978592415782686,-43.978044007326304,-43.91470367266314,-43.914911628775315,-25.13482756613425,-25.13473206456527,-26.291490748546124,-26.29266420289872,-26.831859827155967,-26.83135791178654,-27.385984340985402,-27.384504660633496,-29.037054176951102,-29.039075132626238,-30.756289288796353,-30.754449848359656,-31.98658171675183,-31.98631964541684,-33.177953488025054,-33.182032488694176,-34.80082656798686,-34.80531106852408,-36.149224455121015,-36.15229669588561,675.893,676.273,676.97,676.69,676.967,677.401,678.139,678.631,678.932,679.683,681.111,682.253,676.118,675.945,675.915,675.834,675.865,675.797,676.925,676.121,676.162,676.278,676.192,676.537,676.572,676.036,675.801,675.917,675.948,675.909,676.01,675.891,676.019,675.693,675.78,-822,-779,-830,-810,-810,-784,-846,-844,-838,-786,-794,-817,-739,-820,-886,-755,-819,-840,-823,-836,-788,-766,-800,-806,-824,-816,-782,-794,-823,-744,-787,-751,-849,-821,-768
231709,2026-01-23T09:07:07Z,2026-01-23T09:06:59Z,2026-01-22T09:03:14Z,6680,-37.49948477000001,-19.627979986584336,-19.54732724116454,-44.0231369838356,-44.0227111698741,-43.87848892073174,-43.877751958086066,-43.8924339924566,-43.89077881023519,-43.98126042490924,-43.98142625066589,-44.08889231062881,-44.089162472760876,-44.231259087844194,-44.231548353467275,-44.32251117734921,-44.32248795294595,-44.37862160566539,-44.3788237842339,-44.43435042870351,-44.434252793702825,-44.47925570028127,-44.4795091193169,-44.50918888052442,-44.50854321596398,-25.727640547429644,-25.7586640082109,-27.628077334730023,-27.64972190038776,-30.949691796076138,-30.96937210291867,-33.93208450748571,-33.94861948624492,-36.534356660497,-36.547464005829994,-40.27682245049738,-40.28248521012296,-42.455673548669495,-42.4597296436188,-43.56554964167532,-43.56662386124259,-43.99061282335359,-43.990684320220794,-44.090410875625764,-44.08940383194465,-44.051490082043614,-44.050899082099846,-43.97969671216828,-43.97916672248252,-43.916189659879365,-43.91637565725841,-25.307871142564096,-25.3068785157146,-26.130103174469753,-26.131225010558808,-26.62854298784802,-26.62683170833654,-27.341698764113772,-27.337387617377175,-28.997142015287807,-29.001124911764975,-30.71458611495615,-30.71246229671405,-31.964688321207205,-31.963888242059852,-33.16251639034641,-33.166188794942855,-34.78480335880241,-34.78898504343138,-36.12612889486317,-36.12899487101669,677.658,677.927,679.018,678.349,678.613,679.057,679.809,680.299,680.512,681.345,682.798,683.946,677.788,677.61,677.577,677.501,677.535,677.468,678.688,677.79,677.831,677.947,677.857,678.2,678.235,677.699,677.463,677.586,677.613,677.573,677.675,677.55,677.686,677.359,677.446,-820,-775,-822,-815,-801,-780,-847,-858,-836,-787,-790,-815,-732,-820,-879,-752,-809,-846,-819,-827,-791,-769,-800,-808,-817,-820,-792,-801,-820,-755,-786,-745,-849,-813,-757
231709,2026-01-23T21:07:07Z,2026-01-23T21:07:00Z,2026-01-22T21:03:14Z,6671,-37.48770984000001,-23.057564020624767,-22.983529922045847,-44.02169418944308,-44.02132639504114,-43.875549241409544,-43.87487100381637,-43.891249949704644,-43.889632859677164,-43.99031587260038,-43.99055750894681,-44.11069953885789,-44.11111444326053,-44.24759187825501,-44.24783411214372,-44.32806007637507,-44.32788557846766,-44.38277876552786,-44.38281274060384,-44.43681898442395,-44.43663480624775,-44.480553749546715,-44.48079346478514,-44.51031934051957,-44.509755092783166,-23.481654591354072,-23.525968788157115,-27.586725299361632,-27.611373418838667,-30.95202185471601,-30.970984108235996,-33.91034210744078,-33.92694415590586,-36.50494846160254,-36.5180792802978,-40.24047122582354,-40.24617425686961,-42.42778684182312,-42.431883469877704,-43.548972407055885,-43.55006536235922,-43.982033809302806,-43.98212514601238,-44.086915660103756,-44.085886002515196,-44.05102007626394,-44.05042914709762,-43.98059189770359,-43.98009360118479,-43.917498872379724,-43.91772854803057,-24.432691646601313,-24.431800082802,-26.06888039204503,-26.069813386192152,-26.80692746413456,-26.805969338376258,-27.454981728077286,-27.453533031415162,-29.095087989067878,-29.096865046011686,-30.766691205834263,-30.764789306797127,-31.982604494026702,-31.98215885678468,-33.175837510770634,-33.179716165734845,-34.78279501558495,-34.78719350428821,-36.114633540033594,-36.11740396203672,680.925,681.342,682.81,681.761,682.024,682.467,683.234,683.729,683.829,684.764,686.246,687.409,681.17,681.006,680.957,680.885,680.915,680.85,682.16,681.172,681.209,681.328,681.233,681.586,681.619,681.09,680.848,680.963,680.991,680.946,681.052,680.927,681.059,680.736,680.824,-824,-775,-836,-816,-819,-778,-852,-854,-840,-788,-800,-819,-740,-833,-892,-754,-817,-849,-840,-840,-797,-768,-807,-817,-823,-825,-791,-802,-815,-756,-797,-739,-845,-816,-759
