modem,recv_time_utc,start_time_utc,time_utc,battery_mv,adc_temp_C,n1.ntc1_temp_C,n1.ntc2_temp_C,n2.ntc1_temp_C,n2.ntc2_temp_C,n3.ntc1_temp_C,n3.ntc2_temp_C,n4.ntc1_temp_C,n4.ntc2_temp_C,n5.ntc1_temp_C,n5.ntc2_temp_C,n6.ntc1_temp_C,n6.ntc2_temp_C,n7.ntc1_temp_C,n7.ntc2_temp_C,n8.ntc1_temp_C,n8.ntc2_temp_C,n9.ntc1_temp_C,n9.ntc2_temp_C,n10.ntc1_temp_C,n10.ntc2_temp_C,n11.ntc1_temp_C,n11.ntc2_temp_C,n12.ntc1_temp_C,n12.ntc2_temp_C,n13.ntc1_temp_C,n13.ntc2_temp_C,n14.ntc1_temp_C,n14.ntc2_temp_C,n15.ntc1_temp_C,n15.ntc2_temp_C,n16.ntc1_temp_C,n16.ntc2_temp_C,n17.ntc1_temp_C,n17.ntc2_temp_C,n18.ntc1_temp_C,n18.ntc2_temp_C,n19.ntc1_temp_C,n19.ntc2_temp_C,n20.ntc1_temp_C,n20.ntc2_temp_C,n21.ntc1_temp_C,n21.ntc2_temp_C,n22.ntc1_temp_C,n22.ntc2_temp_C,n23.ntc1_temp_C,n23.ntc2_temp_C,n24.ntc1_temp_C,n24.ntc2_temp_C,n25.ntc1_temp_C,n25.ntc2_temp_C,n1.testSB_hPa,n2.testSB_hPa,n3.testSB_hPa,n4.testSB_hPa,n5.testSB_hPa,n6.testSB_hPa,n7.testSB_hPa,n8.testSB_hPa,n9.testSB_hPa,n10.testSB_hPa,n11.testSB_hPa,n12.testSB_hPa,n13.testSB_hPa,n14.testSB_hPa,n15.testSB_hPa,n16.testSB_hPa,n17.testSB_hPa,n18.testSB_hPa,n19.testSB_hPa,n20.testSB_hPa,n21.testSB_hPa,n22.testSB_hPa,n23.testSB_hPa,n24.testSB_hPa,n25.testSB_hPa,n1.gnd,n2.gnd,n3.gnd,n4.gnd,n5.gnd,n6.gnd,n7.gnd,n8.gnd,n9.gnd,n10.gnd,n11.gnd,n12.gnd,n13.gnd,n14.gnd,n15.gnd,n16.gnd,n17.gnd,n18.gnd,n19.gnd,n20.gnd,n21.gnd,n22.gnd,n23.gnd,n24.gnd,n25.gnd
231710,2026-01-19T17:41:14Z,2026-01-19T17:41:14Z,2026-01-18T17:38:18Z,6758,-38.40987599000002,-31.37391002123229,-31.347592533555257,-35.70284328279158,-35.69297174894518,-40.3954284591251,-40.36550924767741,-40.45417039763851,-40.44789436471439,-40.3376777270299,-40.354886292875534,-40.30235933975055,-40.318747838185544,-40.45958708454802,-40.448553176340994,-40.54970979098073,-40.53942226151014,-40.67769693071699,-40.64705250343218,-40.776441234270294,-40.725136114107016,-40.842332006090686,-40.79738269597635,-40.83923058461431,-40.88754906466016,-40.91322121763298,-40.912468721632564,-40.892287616321596,-40.941138212144295,-40.880720653081625,-40.90772601790914,-40.81292882244162,-40.89605133197571,-40.81893572510248,-40.80059747269098,-40.7005666990288,-40.69383851617056,-40.5721395520049,-40.54572888680269,-40.53729052863122,-40.53492379695939,-31.481148721282352,-31.451465774360116,-33.11544541639873,-33.13095787754628,-35.221588608625694,-35.19811008360239,-38.07676038324587,-38.134701145445376,-40.445959059372996,-40.51011100467355,6541.797,6539.298,6537.202,6538.48,6534.938,6539.437,6536.003,6536.022,6536.533,6536.19,6535.593,6535.041,6535.928,6536.472,6537.358,6531.416,6536.181,6533.18,6534.609,6536.711,6537.149,6540.585,6533.898,6534.991,6534.162,-825,-870,-852,-844,-877,-898,-829,-937,-874,-906,-895,-932,-904,-892,-894,-927,-812,-817,-886,-888,-867,-868,-891,-877,-867
231710,2026-01-20T17:41:07Z,2026-01-20T17:41:07Z,2026-01-19T17:38:18Z,6741,-38.446481990000024,-31.28855596445507,-31.261831937152948,-35.52514544356234,-35.51499774695614,-40.36607480387744,-40.33579741660796,-40.45115893336276,-40.44498255695922,-40.34372492552555,-40.36104350181148,-40.331517844284576,-40.3478149454329,-40.49527904703106,-40.484246488182265,-40.58357104234571,-40.5731255235894,-40.68980941525115,-40.65910135610159,-40.785708588972625,-40.734359292699736,-40.845404056195406,-40.80046304025316,-40.84202829625099,-40.890379404762484,-40.91379287461322,-40.91301705303471,-40.89269025827741,-40.94162213397527,-40.880831548379206,-40.90776102086045,-40.81305153794824,-40.89619720740919,-40.819029212692556,-40.800714370202,-40.70061939699241,-40.693961492862684,-40.57229214400115,-40.545934397775056,-40.53730814659801,-40.53495316150199,-31.472654880990888,-31.442986150112148,-33.06768948349955,-33.083097247268284,-35.150431638213604,-35.126921497589194,-38.01129364319394,-38.06931951292498,-40.4320804882137,-40.49613122970561,6541.798,6539.274,6537.202,6538.485,6534.943,6539.444,6536.001,6536.025,6536.538,6536.191,6535.592,6535.036,6535.921,6536.471,6537.365,6531.424,6536.191,6533.192,6534.611,6536.704,6537.139,6540.58,6533.89,6534.993,6534.165,-836,-879,-862,-846,-885,-907,-830,-950,-888,-909,-914,-938,-902,-897,-887,-935,-826,-818,-898,-888,-866,-880,-879,-890,-869
231710,2026-01-21T17:41:14Z,2026-01-21T17:41:14Z,2026-01-20T17:38:18Z,6732,-38.45575551000002,-31.22566021395349,-31.199009266938162,-35.385896724654344,-35.37573137751363,-40.255861599349174,-40.22542141787585,-40.47161831688865,-40.46544426291092,-40.36365936617116,-40.38082430095693,-40.289523393249056,-40.30582734909797,-40.43597555342211,-40.42496038653536,-40.532304416465195,-40.52187263637356,-40.67448093911369,-40.64384059673836,-40.774195790096314,-40.7228593464892,-40.841893962532055,-40.797055362953444,-40.83914297136593,-40.887484869743446,-40.913127885336024,-40.91229372113713,-40.892270110084866,-40.94120234659866,-40.880685633468914,-40.90767934727401,-40.812858699174996,-40.89606300202419,-40.81895325403744,-40.80063838684745,-40.70049057965997,-40.69377409969965,-40.57216302772417,-40.545746502059046,-40.53723767469697,-40.534859194910354,-31.4445993779442,-31.41478574845712,-33.01449296595169,-33.02994623768723,-35.07494190614207,-35.0513838809764,-37.94210727722907,-38.00019273698615,-40.417445017208365,-40.48150122679655,6541.791,6539.272,6537.191,6538.484,6534.946,6539.441,6535.992,6536.021,6536.549,6536.185,6535.589,6535.035,6535.93,6536.478,6537.356,6531.416,6536.194,6533.188,6534.592,6536.709,6537.143,6540.586,6533.882,6534.986,6534.159,-838,-883,-861,-850,-887,-905,-826,-948,-888,-924,-911,-948,-916,-916,-890,-935,-817,-830,-883,-900,-871,-869,-896,-891,-875
231710,2026-01-22T17:41:14Z,2026-01-22T17:41:14Z,2026-01-21T17:38:18Z,6724,-38.449227440000016,-31.221330512655015,-31.19471317271234,-35.341481467247036,-35.3313767697087,-40.238266874315514,-40.207934801074174,-40.46507379740956,-40.45892252549589,-40.36716466107555,-40.38445215389555,-40.31438435142124,-40.33062769759337,-40.453146989035076,-40.442070593148,-40.5417594381334,-40.53130009163493,-40.675798990963784,-40.645182821268094,-40.7731198162634,-40.72176482619008,-40.84266491692469,-40.79779185957693,-40.83950510524619,-40.88788170988437,-40.91330871652241,-40.91252705501151,-40.89229345173263,-40.941138212144295,-40.88069147007252,-40.907685181105506,-40.812882073606886,-40.89605133197571,-40.818947411059725,-40.80064423172453,-40.7005432776956,-40.69382094804956,-40.5721336830735,-40.545758245560165,-40.537243547358855,-40.53498839893231,-31.394899269764267,-31.365209210217955,-32.954537234313875,-32.96974980362651,-34.99786522072014,-34.97430469002899,-37.87150348625272,-37.92952699922358,-40.40244058630486,-40.466526242958,6541.789,6539.273,6537.19,6538.475,6534.94,6539.444,6535.994,6536.022,6536.538,6536.19,6535.591,6535.035,6535.924,6536.471,6537.363,6531.416,6536.18,6533.184,6534.595,6536.708,6537.143,6540.573,6533.889,6534.973,6534.167,-843,-882,-855,-855,-887,-911,-841,-949,-888,-915,-917,-946,-904,-900,-898,-939,-819,-819,-892,-898,-875,-885,-894,-898,-869
231710,2026-01-23T17:41:13Z,2026-01-23T17:41:13Z,2026-01-22T17:38:18Z,6706,-38.46252762000003,-31.128496601433113,-31.101867366271193,-35.191460783728274,-35.181494557866074,-40.14905233674335,-40.11902423922294,-40.4719887378715,-40.465697118869,-40.375923956780554,-40.3930908813488,-40.29302762876665,-40.30946026116166,-40.42109984143886,-40.41025824287166,-40.514235501083476,-40.504135220757576,-40.665470484957865,-40.63483102515835,-40.76786830008186,-40.71660214701862,-40.84002493853342,-40.795161470218346,-40.837361472513976,-40.88564652996544,-40.91273122136701,-40.91190288475491,-40.89195499690126,-40.94085252142713,-40.88063310400938,-40.90757433820494,-40.812788575821116,-40.89613302226459,-40.81894156808144,-40.80060916245304,-40.70047301363701,-40.69386194032336,-40.572121945208835,-40.54569952802956,-40.53722592937132,-40.53482395739695,-31.33990904891843,-31.31007785460187,-32.89155833659734,-32.906771235922264,-34.92235699692134,-34.89883495767285,-37.800431903025924,-37.85858035562572,-40.3867547718047,-40.450958947407116,6541.787,6539.244,6537.193,6538.482,6534.943,6539.448,6536,6536.02,6536.542,6536.189,6535.589,6535.025,6535.925,6536.477,6537.349,6531.416,6536.185,6533.182,6534.608,6536.708,6537.139,6540.568,6533.895,6534.979,6534.16,-848,-886,-865,-847,-872,-913,-834,-950,-893,-918,-916,-938,-909,-907,-889,-939,-824,-828,-890,-902,-876,-885,-897,-895,-873
231710,2026-01-24T17:41:05Z,2026-01-24T17:41:05Z,2026-01-23T17:38:18Z,6706,-38.43519514000002,-31.144130033708706,-31.11764873577539,-35.192819909503356,-35.18265510046871,-40.27394623616922,-40.24400055843486,-40.450100175823394,-40.44385308649524,-40.34616483071318,-40.363411924978436,-40.33852060346331,-40.35495700166112,-40.5036474927403,-40.49278707102977,-40.59362738333209,-40.58332459787766,-40.69266143980394,-40.662107300993654,-40.789964628314266,-40.73856656983844,-40.846700574776946,-40.80182488444751,-40.84293358037854,-40.89126057464111,-40.91431202750982,-40.91344288122502,-40.89280113019896,-40.94176789275923,-40.88081403860977,-40.907866029584994,-40.81309828664237,-40.89626722748423,-40.81909348532082,-40.800761129138436,-40.700660384263074,-40.693914644631064,-40.57236843984052,-40.54596962815015,-40.537343382514564,-40.53494141568686,-31.29016968843203,-31.26035073649652,-32.83177890247265,-32.846912741821,-34.85212701333674,-34.82846614414228,-37.732026363322746,-37.79006697279857,-40.37132948001718,-40.43544602925155,6541.787,6539.249,6537.191,6538.471,6534.935,6539.447,6535.997,6536.025,6536.539,6536.184,6535.585,6535.03,6535.922,6536.472,6537.352,6531.418,6536.18,6533.184,6534.603,6536.707,6537.136,6540.566,6533.884,6534.974,6534.161,-842,-883,-865,-854,-880,-917,-844,-945,-891,-925,-925,-931,-911,-913,-894,-940,-817,-825,-905,-899,-882,-885,-894,-895,-876
231710,2026-01-25T17:41:23Z,2026-01-25T17:41:23Z,2026-01-24T17:38:18Z,6706,-38.44715310000001,-31.1218358158373,-31.095245788213305,-35.137094893623726,-35.126881648527245,-40.096025644063985,-40.06573028539472,-40.468296174833426,-40.46210410188439,-40.3816723923008,-40.398919917345836,-40.291605904295324,-40.30789153387266,-40.40863946841776,-40.397754160407345,-40.49619000043427,-40.48598057566065,-40.660437351710755,-40.62975993173737,-40.76199631227212,-40.71068379454607,-40.838681539349125,-40.79378777355208,-40.83638600507814,-40.88481779859964,-40.912387054801655,-40.91160538063539,-40.89179743965397,-40.94071259075835,-40.88060975756727,-40.90754516898468,-40.812771044969026,-40.89605133197571,-40.818871452294445,-40.80052148917861,-40.700426170882,-40.69372725131035,-40.57194587693857,-40.5455938363161,-40.53717894804356,-40.53484157615648,-31.246756150322142,-31.216910768140252,-32.77523028380995,-32.790453710957394,-34.784758729069836,-34.76113469046447,-37.66542031379987,-37.72348756532867,-40.35571711524446,-40.419858052797395,6541.782,6539.252,6537.181,6538.482,6534.941,6539.431,6535.993,6536.013,6536.548,6536.19,6535.59,6535.032,6535.918,6536.474,6537.361,6531.412,6536.178,6533.177,6534.603,6536.699,6537.126,6540.564,6533.891,6534.967,6534.161,-842,-888,-868,-866,-886,-910,-833,-950,-887,-924,-922,-945,-910,-911,-905,-939,-817,-833,-898,-899,-885,-889,-906,-898,-874
231710,2026-01-26T17:41:12Z,2026-01-26T17:41:12Z,2026-01-25T17:38:18Z,6706,-38.44452967000001,-31.098283658501458,-31.071501291879827,-35.07624544299608,-35.06596887015792,-40.185323633916454,-40.15507365071548,-40.45233530644663,-40.446023766744304,-40.348227466208925,-40.365544595113704,-40.318364573154014,-40.33465976740385,-40.480907479710595,-40.469907292039494,-40.57391780937971,-40.56355263550856,-40.686248571651475,-40.65564988520444,-40.78470884067835,-40.733399591261616,-40.84495435586905,-40.8000714308867,-40.841450074929384,-40.88986003333147,-40.9137987078181,-40.912947053575294,-40.8925385384552,-40.94151718742046,-40.880749836075694,-40.90779018997,-40.81298725843047,-40.896121352230494,-40.81901168378121,-40.80073774967505,-40.7005666990288,-40.6939849169637,-40.57220997913268,-40.54575237380993,-40.53729052863122,-40.534947288594736,-31.201097433037773,-31.17135029214859,-32.7163585688794,-32.73141696510592,-34.715304810928586,-34.69157518322314,-37.59777533579822,-37.65590838481805,-40.339504924954696,-40.40365922603414,6541.778,6539.236,6537.187,6538.472,6534.948,6539.44,6535.995,6536.021,6536.542,6536.182,6535.59,6535.038,6535.922,6536.469,6537.36,6531.407,6536.181,6533.186,6534.607,6536.698,6537.131,6540.553,6533.885,6534.976,6534.163,-845,-883,-859,-864,-888,-908,-841,-963,-901,-922,-920,-942,-908,-909,-896,-943,-823,-838,-896,-906,-878,-886,-906,-900,-871
231710,2026-01-27T17:41:04Z,2026-01-27T17:41:04Z,2026-01-26T17:38:18Z,6697,-38.44154018000003,-31.033698830012924,-31.00694335596185,-34.960644156345126,-34.95019523247814,-40.06703959599511,-40.036786756991376,-40.46205117514802,-40.45582898447637,-40.3785508792821,-40.39588183152705,-40.29319280592574,-40.309495645458554,-40.41174158642892,-40.40078036627773,-40.49667779504102,-40.486356777192384,-40.65989826963414,-40.6292615911197,-40.76172726224101,-40.71050231189716,-40.83807407879593,-40.79315060072926,-40.83614651648546,-40.88457851475721,-40.91219455395091,-40.91137204298303,-40.89177993326618,-40.9406892689469,-40.88054555480201,-40.90750433205122,-40.81280026305282,-40.895922961284555,-40.81885976632145,-40.80056824827528,-40.70034419596604,-40.6937096831542,-40.57196348379094,-40.545676040999695,-40.53718482071176,-40.53479459278512,-31.171014384089148,-31.141201229308848,-32.66801456726873,-32.683087801080376,-34.65282334635043,-34.62908649078915,-37.533631393534506,-37.5916886408628,-40.323482409750454,-40.38772054652324,6541.772,6539.231,6537.181,6538.479,6534.944,6539.44,6535.986,6536.025,6536.547,6536.185,6535.587,6535.032,6535.924,6536.47,6537.361,6531.422,6536.185,6533.19,6534.6,6536.692,6537.13,6540.555,6533.886,6534.959,6534.164,-840,-895,-865,-858,-887,-911,-839,-955,-893,-931,-921,-942,-910,-915,-895,-939,-820,-828,-911,-900,-880,-879,-895,-895,-875
231710,2026-01-28T17:41:09Z,2026-01-28T17:41:09Z,2026-01-27T17:38:18Z,6706,-38.41012003000003,-31.046067423819352,-31.019232580684815,-34.93270700213367,-34.92245717222127,-40.169396653678234,-40.139184888537955,-40.44577081930922,-40.439464400229696,-40.35278266404387,-40.37003353121699,-40.334695135099196,-40.35106198777271,-40.49563167595778,-40.48469324141479,-40.58447466262706,-40.57411147750426,-40.690031960411176,-40.65948809498059,-40.78738064286267,-40.73607969184539,-40.846104880742075,-40.801100130265695,-40.842355368318465,-40.89080540250339,-40.913962037312956,-40.913273716982815,-40.89273694121812,-40.9416104732565,-40.88079652883496,-40.90774935321241,-40.813004789215285,-40.89617970237691,-40.81907011346445,-40.800708525332226,-40.700607686338145,-40.69394978080845,-40.57226866833699,-40.54594614123593,-40.53734925516511,-40.535082365302486,-31.149815015327903,-31.119764776819267,-32.62274651549296,-32.637790449812684,-34.59125844161977,-34.56761603339854,-37.470005023873824,-37.52820462804107,-40.30727228678384,-40.371358933037186,6541.782,6539.227,6537.189,6538.481,6534.939,6539.441,6535.995,6536.019,6536.545,6536.185,6535.588,6535.04,6535.922,6536.464,6537.358,6531.411,6536.187,6533.194,6534.599,6536.703,6537.109,6540.544,6533.885,6534.951,6534.165,-836,-895,-873,-857,-893,-920,-840,-953,-887,-920,-915,-942,-915,-909,-897,-935,-822,-828,-899,-896,-874,-883,-908,-894,-876
