node,node_id,chain,depth_m
1,20,Wetterstation,NA
2,31,"C25.4.A (60 m, Luft)",5
3,61,"C25.4.A (60 m, Luft)",8
4,62,"C25.4.A (60 m, Luft)",10
5,63,"C25.4.A (60 m, Luft)",13
6,64,"C25.4.A (60 m, Luft)",16
7,65,"C25.4.A (60 m, Luft)",21
8,66,"C25.4.A (60 m, Luft)",26
9,67,"C25.4.A (60 m, Luft)",32
10,68,"C25.4.A (60 m, Luft)",40
11,69,"C25.4.A (60 m, Luft)",50
12,70,"C25.4.A (60 m, Luft)",62
13,30,"C25.4.B (10 m, Schnee)",0.2
14,93,"C25.4.B (10 m, Schnee)",0.5
15,94,"C25.4.B (10 m, Schnee)",1
16,50,"C25.4.B (10 m, Schnee)",1.5
17,51,"C25.4.B (10 m, Schnee)",2
18,52,"C25.4.B (10 m, Schnee)",3
19,53,"C25.4.B (10 m, Schnee)",4
20,54,"C25.4.B (10 m, Schnee)",5
21,55,"C25.4.B (10 m, Schnee)",6
22,56,"C25.4.B (10 m, Schnee)",7
23,57,"C25.4.B (10 m, Schnee)",8
24,58,"C25.4.B (10 m, Schnee)",9
25,59,"C25.4.B (10 m, Schnee)",10
26,27,C25.4.C (2 m Schacht),0.2
27,72,C25.4.C (2 m Schacht),0.4
28,73,C25.4.C (2 m Schacht),0.6
29,74,C25.4.C (2 m Schacht),0.8
30,75,C25.4.C (2 m Schacht),1
31,76,C25.4.C (2 m Schacht),1.25
32,77,C25.4.C (2 m Schacht),1.5
33,78,C25.4.C (2 m Schacht),1.75
34,97,C25.4.C (2 m Schacht),2
35,98,C25.4.C (2 m Schacht),2.25
