node,depth_m,ntc,cal_row,a,b,c,d
1,1,1,7,7.64999280663871e-4,2.9402695765873185e-4,-4.554939351921377e-6,3.431040052091343e-7
1,1,2,32,7.434800724758414e-4,3.0030591352400043e-4,-5.137793647803078e-6,3.6080824351518205e-7
2,2,1,8,7.710961664850075e-4,2.921493064647688e-4,-4.376263916867325e-6,3.376822042148831e-7
2,2,2,33,8.306418424691193e-4,2.762339319541352e-4,-2.950207238315851e-6,2.951346391348687e-7
3,5.02,1,16,7.692884783423237e-4,2.938084397930728e-4,-4.596723403450596e-6,3.4594015004691234e-7
3,5.02,2,41,7.690529622389287e-4,2.9381726710011496e-4,-4.579805815678033e-6,3.449803539360338e-7
4,8.029999999999998,1,2,8.178685825274815e-4,2.8057166666988197e-4,-3.407247885948487e-6,3.1055023526327684e-7
4,8.029999999999998,2,27,8.117851781550361e-4,2.8243612126836265e-4,-3.5839344539269353e-6,3.15889898224967e-7
5,10.04,1,4,8.193621630242928e-4,2.800358150748475e-4,-3.3394364903068802e-6,3.078444970569329e-7
5,10.04,2,29,8.200080915958923e-4,2.7969894152181753e-4,-3.3068483970785144e-6,3.0686594865289476e-7
6,13.05,1,9,7.463811389329489e-4,2.9912933696695686e-4,-5.004540995122382e-6,3.5668028057960977e-7
6,13.05,2,34,8.107281578765476e-4,2.8201676791425004e-4,-3.4933695398327588e-6,3.121846221997324e-7
7,16.06,1,12,8.008029632379098e-4,2.848912034659879e-4,-3.770862171119528e-6,3.2052910110642264e-7
7,16.06,2,37,7.880003486166766e-4,2.881085597996823e-4,-4.039550970032002e-6,3.28141696425143e-7
8,21.07,1,14,8.131642176553138e-4,2.815741651487057e-4,-3.463444911173295e-6,3.1171056769646646e-7
8,21.07,2,39,7.861051991809669e-4,2.894373662284043e-4,-4.2156769100829224e-6,3.355455741201983e-7
9,26.085,1,15,8.453837426573231e-4,2.729309540081466e-4,-2.696841558104443e-6,2.889798472153864e-7
9,26.085,2,40,7.626295805975677e-4,2.951346338265087e-4,-4.666437915906834e-6,3.4717498649799125e-7
10,32.1,1,17,8.032563901481404e-4,2.8476449618554156e-4,-3.787148350335928e-6,3.217574023321164e-7
10,32.1,2,42,8.024838920006589e-4,2.8486565601027435e-4,-3.7785357211499327e-6,3.2136890263385065e-7
11,40.135,1,18,8.187960078814176e-4,2.804149640665683e-4,-3.3977169228852022e-6,3.1035899214198737e-7
11,40.135,2,43,8.171562938965183e-4,2.808179183424454e-4,-3.431088844777598e-6,3.117678398597712e-7
12,50.18,1,21,8.178781175255718e-4,2.806999665474938e-4,-3.4066547124511445e-6,3.101940497225455e-7
12,50.18,2,46,8.040223227982668e-4,2.8334882236517194e-4,-3.563962720239163e-6,3.1243739079785455e-7
13,62.23,1,24,8.160518523115637e-4,2.7993163124228514e-4,-3.254946214241815e-6,3.036154638775975e-7
13,62.23,2,49,8.113663207741861e-4,2.8122063957444136e-4,-3.3728637953677283e-6,3.0716762594610465e-7
14,75.31,1,25,8.081456882568654e-4,2.8295350949368076e-4,-3.5969654489460855e-6,3.1602187873105956e-7
14,75.31,2,50,8.109064819365134e-4,2.822695175776637e-4,-3.549247624614245e-6,3.146205590624505e-7
15,92.39,1,1,8.058482007153517e-4,2.8365277001825105e-4,-3.6604962830577428e-6,3.1780822612528944e-7
15,92.39,2,26,8.083485531998118e-4,2.8346704534848476e-4,-3.681607285971764e-6,3.191131198758822e-7
16,111.48,1,3,8.387180767403679e-4,2.743043427490491e-4,-2.781081626190783e-6,2.908383955547908e-7
16,111.48,2,28,8.208590823816752e-4,2.793856434071022e-4,-3.2867759992353827e-6,3.070357326920359e-7
17,133.56,1,5,8.073193788419665e-4,2.8349264135450373e-4,-3.661562418986688e-6,3.1783008618643934e-7
17,133.56,2,30,7.960843328710865e-4,2.866554031263801e-4,-3.95354626642672e-6,3.268967111938938e-7
18,157.66,1,11,8.001071428761721e-4,2.855456627116779e-4,-3.866976537556683e-6,3.252470222235896e-7
18,157.66,2,36,8.05998484688872e-4,2.842619267807348e-4,-3.761067034039671e-6,3.2203967725947265e-7
19,187.1,1,20,8.605000012199515e-4,2.6836770942505303e-4,-2.238326179767182e-6,2.7385749191175944e-7
19,187.1,2,45,7.705513012638776e-4,2.936669611329384e-4,-4.594768151450769e-6,3.468891027810205e-7
20,201.24,1,22,8.287351797248022e-4,2.771722849452979e-4,-3.053154577255002e-6,2.988616455514682e-7
20,201.24,2,47,8.224609772535504e-4,2.790634340217434e-4,-3.246643596796919e-6,3.053654126591465e-7
21,1,1,6,7.406955900012229e-4,3.021760284846619e-4,-5.400248110012068e-6,3.7147453923430893e-7
21,1,2,31,8.350500026244776e-4,2.7581066772704236e-4,-2.9570068535046406e-6,2.967277393713733e-7
22,1.355,1,10,7.708821331088301e-4,2.925473860608816e-4,-4.425916858230563e-6,3.3942385964015164e-7
22,1.355,2,35,7.4176802746526e-4,3.007083343413776e-4,-5.1725145742207586e-6,3.616855517302947e-7
23,1.865,1,13,7.802084040441378e-4,2.9013989021114484e-4,-4.2118566953174125e-6,3.335028667903435e-7
23,1.865,2,38,7.727608104711656e-4,2.9258772507917706e-4,-4.464348483265423e-6,3.421121149623964e-7
