Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
02/Mar/2026 21:06:46,RockBLOCK 231709 - Head-03,MO,359db2fcdb0a466c34e6df34f54efd0e0a45fe35032034fb68fca00a469e35d08d35e5f5fcc10a457536f6e136dee2fcfc0a45e219ec,"-75.07176666666666,0.0",,54,2
02/Mar/2026 21:06:37,RockBLOCK 231709 - Head-03,MO,69a5fb1236e6b431b3b6318bb0fcbe0a356647bdda47972cfceb0a522d479a9d47a7cffcb90a551147b647478d7afcc50a519047f8f6480f44fcc70a51c7480e2748043dfce30a54c148690a4879c9fca60a5a6448c4e0489fcffc9a0a5dd048bc5c48dca1fcba0a643f48bfa148eb1afce10a5a7148d88148fc98fcd80a6bc648d5bb491c9cfcbb0a702a409d6e40ba78fd140a465e3d76263d79eefcb40a45ac36a62a369aa2fc850a45ef359477359efcfd010a45fe37003036f589fcc10a46433bc2843bac97fca40a4621405913405f1dfcbd0a3fe343ce7b43ce2cfcbf0a468145ceaf45e0b3fcd80a49be46f55246f194fcf10a468d4777244776eafcd30a4bf047a6d447cbcefcc30a49dd47aa7647c802fcc70a4a1641c7e441f084fcb40a45a33f37483f3edafcdc0a44d13d31f13cfcc1fcd30a457a3b05b83aec70fcc70a45c93780d837904afcfd0a45d23594e8,"-75.07176666666666,0.0",,340,7
02/Mar/2026 09:06:44,RockBLOCK 231709 - Head-03,MO,352b5cfcda0a500e34981a34a66cfd0b0a4fa734ccb734c507fca90a503b35b04435c595fccc0a4f1636e2bb36cac6fcfb0a4f7e19f5,"-75.02785,0.13871666666666668",,54,2
02/Mar/2026 09:06:32,RockBLOCK 231709 - Head-03,MO,69a5525236e64e44b1924492befcba0a22b847c05247998efcef0a5b98479aac47a7d8fcaf0a5d4947b677478daafcc90a5b0947f975480fbbfccc0a5b40480ec84804d1fce60a5e324869474879f7fc9e0a63d748c4b2489f97fca20a674748bc3e48dc8ffcaa0a6cc348bf9a48eb09fcdc0a640348d87448fc7efcda0a753d48d5b4491c91fcbf0a79ab48335c4820c9fd1f0a4f403c788b3c7b96fcbc0a4f4136203c36154afc860a4f9235540d355ee1fd0a0a4fa736e72b36dca7fcc50a4fe53bc3933badb3fcb10a4fc3406147406752fcba0a496b43d74143d6effcbb0a502845d59b45e7a2fcdc0a535c46f9f246f62afcf50a503c4779bf477987fcd60a557a47a81947cd04fcc50a537d47aad747c85cfcc40a53a4426b8942955ffcbe0a4ef13e29563e3125fce40a4e723c069d3bd1d4fcd90a4f273a19a339ffecfcc30a4f7136da2436ea09fd050a4f723522b5,"-75.02785,0.13871666666666668",,340,7
01/Mar/2026 21:06:59,RockBLOCK 231709 - Head-03,MO,34cdddfcda0a53c73455813463b9fd100a535d34a0743498e8fca60a53f035955e35aac5fcc40a52cc36d27036ba87fcfb0a533719f5,"-75.02788333333334,0.0",,54,2
01/Mar/2026 21:06:47,RockBLOCK 231709 - Head-03,MO,69a4a99236e6844eab0b4e75e7fcaf0a4da947acee478694fce00a5f394795b747a2f9fcaa0a608047ade6478528fcbc0a5eae47ed684803c7fcc10a5ee648014247f766fcdd0a61d04861134871dbfc950a677948c198489c90fc990a6ade48b9a548da04fcac0a6ffa48bdf848e97afcde0a67b548d77348fb8ffccf0a78ce48d4e0491bbbfcb70a7d3e424f77424f1cfd0b0a53213bd90b3bdcc7fcb60a5312359f9f359538fc790a5354351b1e352642fcff0a536136d25d36c7f8fcb80a539e3bc5c53bafe1fc9f0a537c4069db406febfcb60a4d2243e03943dfe7fcaf0a53e045dc9e45eea4fcd00a570746fe9246fad0fcef0a53f5477c56477c24fccf0a591347a94947ce48fcc00a572947ab3347c8bafcb90a574640a84840d146fcbc0a52db3d84173d8bd8fcdf0a52383b87cf3b53a0fcd10a52e039771f395e68fcbf0a5329364e7c365de5fd010a533034c53d,"-75.02788333333334,0.0",,340,7
01/Mar/2026 09:06:43,RockBLOCK 231709 - Head-03,MO,34617cfcd60a4e4e340f03341d11fd0b0a4de63471c4346a25fc9e0a4e78357a2d358f85fcc30a4d5036c17336a992fcf60a4db819f5,"-75.02788333333334,0.0",,54,2
01/Mar/2026 09:06:30,RockBLOCK 231709 - Head-03,MO,69a400d236e5534744fd471258fcb80a431947b8a547922bfce50a597c4796aa47a3e9fcb80a5bf147af5e47869bfcc40a58f947f0804806d1fcc20a593048058447fbaffce20a5c134863ec4874acfc970a61b048c2a8489d96fc950a651148ba7948dad5fca70a6aeb48be7648e9f2fcde0a620448d7b848fbdafcd70a72ef48d519491bfffcb50a776145ffba45ef91fd0a0a4d873acc4f3acfabfcb20a4d8a351c3c3512a7fc800a4dcf34e30634ee7afd030a4ddc36bdae36b367fcbf0a4e1a3bc7ec3bb22afca20a4df44072b64078c9fcba0a47cc43e96c43e913fcba0a4e6345e3d145f5d0fcd80a516e47035046ff8bfcf40a4e76477f18477ed8fcd90a536b47aaa447cf98fcc80a519b47abab47c926fcbd0a51ac40786240a179fcba0a4d3a3c585a3c6040fce50a4cb63a474f3a13aefcca0a4d6a387933385ffffcca0a4db235a3cc35b3aafd020a4db53458ef,"-75.02785,0.13871666666666668",,340,7
28/Feb/2026 21:06:51,RockBLOCK 231709 - Head-03,MO,340d06fce00a4a0e33d64933e454fd100a49a7344d96344616fcab0a4a393563fe35795ffcc40a491336b3f0369c18fcfb0a497c19f5,"-75.02788333333334,0.0",,54,2
28/Feb/2026 21:06:39,RockBLOCK 231709 - Head-03,MO,69a2069236e58b50693f5030cdfcae0a466647be3c4797e9fce40a552447980a47a544fcb50a588e47b351478a98fcbe0a54a847f5e4480c4ffcc00a54e1480ba94801defce00a57b14866e94877a7fc980a5d4948c3d5489ec6fc8f0a60a448bb5e48dbb1fca60a672648bf1848ea8cfcd50a5daf48d82148fc33fcd70a6e7248d562491c40fcba0a72e540d7a040d2c8fd0d0a49613a01ef3a067bfcab0a496334a25b34994bfc790a49a734b38b34bf3ffd000a49a836acc336a29bfcb90a49e33bcb053bb541fc990a49bc407bcc4081dbfcbe0a43c743f2a543f253fcac0a4a2a45eaf045fceafcd60a4d2747080347043dfced0a4a454781b3478181fcc90a4f1147abe147d0d7fccb0a4d5547ac0d47c993fcba0a4d5f3e9ddd3ec659fcbe0a492e3b79a33b8173fcd80a488b39a389397074fccb0a493437c65b37ae34fcbf0a497b351ba9352afcfd010a497834048b,"-75.02788333333334,0.0",,340,7
