"At (UTC)","Direction","Thing","Type","Size","Transport","Payload","Delivery"
"27 Jul 2026 04:26:35","MO","RockBLOCK 228679","SBD",226,"SBD","6A66CF893F094214DD300100000014E49B14DA2714CDB014D91C14D74C14C89E14BB8014C18B14B1DE14A69014A4F714AAEF14AA5E149D1714A6E4149FF314926D14A11214998C149C021483551482AA147798148D48147D551479AA146FF51469A6146621146B3F14578814646F1457521454A01467C6144A9C144E92144650",
"27 Jul 2026 04:17:39","MO","RockBLOCK 234048","SBD",225,"SBD","6A66F79D3DE8F014BA9E14DB1514AC9B14A21B149533148F7214979A148CA71494AA148BAA148FC6148CBE148B05147E061492BC148B3C1485BC1488D01491F5148475148870147B4C1483A8147C98147E4114848C14792614867B147B9A147A74147FC0147F2B147B4E14827E147172146E94147747147125146DBF14858D14",
"27 Jul 2026 01:26:38","MO","RockBLOCK 228679","SBD",226,"SBD","6A66A5593FCE62132B3801000000133D591327B7132574132A321326D6131D1113158413192E130C881309D4130A6D130E8B131374130B5D1311DA1316AD1309E113152713156C131A331305D11300B313007E1313F9130A7C130D201300681308A9130D71130A9413033213084A13040013045E13157012FBE413030F12FAD9",
"27 Jul 2026 00:17:35","MO","RockBLOCK 234048","SBD",225,"SBD","6A66BF5D3E35291583F71644D11616C8160B7815FF0C15FB131602E715F6D51600AA15F8C715F98115F8DA15F5C515EAFF1601CF15FA2B15F48315F7E91603BE15F41115FA4315EBF215F47615ED7B15EF8915F68315EBC315F8C115EEAA15E9C815F07F15EE7115EB7C15F13B15DEC315DAD515E1E915DD3415D80E15F23115",
"26 Jul 2026 22:26:41","MO","RockBLOCK 228679","SBD",226,"SBD","6A667B29418F55103CB301000000104935102E7C100DE5103C890FCBEA0FC4A00FA03E0FCB5E0FC4680F9B200FA62A0FC3110FAE4A0FAC040FCE340FAC100F92740FD1170F98AB0FA9F80F8E040FA5300F8D840FABAA0F9AD50F95E40FB3C70F915B0F97F50FA9D50F89E00FC2A10FA0100FA1D60FA89D0F9B540F8C780F7D16",
"26 Jul 2026 20:17:37","MO","RockBLOCK 234048","SBD",225,"SBD","6A66871D3FCF2E118E0411D97711E86D12265411D99911F31411E90F11BEE811F57412062B11C3AE11F8AC11D31911E5161208E01215B312108312160B122DAF120341122928120F6412158D1226111218D5122C1C122FD9122CF9122AD312266912253A120C031229F0122A141211D81241AC122846121E72122CFC1244DF12",
"26 Jul 2026 19:26:41","MO","RockBLOCK 228679","SBD",226,"SBD","6A6650F94275290D81B0010000000D86F00D58240D00EF0D63B80D17290CE18F0C8CEB0CED5C0CE34A0C868F0C988A0CD1C30C92530CB4180CDADD0C8A510C8ABC0D033E0CA6C70CAC870C77740CDE9F0C830C0CA7C30C9DAE0C910A0CD9F10CAC6A0C954F0CBA9C0C92D70D041E0CB9800CBDB20CCC2E0CA1F50C944F0C747F",
"26 Jul 2026 17:37:42","MO",231710,"SBD",284,"SBD","6A66460A36C9004F32BF4F24EC63D4A9FCA94CAFD34CA9E463CA78FC7F469B8446875463BFC9FC98462C0B4627E463C4B2FC9F46C1E746CD5663B710FC87475E5247691C63C8A7FC6B47E93B47E1F663BB3EFCB548125D480B8663BB3EFC3E48618E484D1A63BD54FC7548AA7348883463BBFFFC5D48D99A48BB9263B997FC5B",
"26 Jul 2026 16:26:36","MO","RockBLOCK 228679","SBD",226,"SBD","6A6626C942437A0D5D89010000000D411D0D3E6D0CF5060D20AC0CE7640CC34A0C8E0B0CC3490CBE490C8B290CA4060CBE350C86060CBEB80CC1B80C89CF0C93030CDE720CB0880CB8B70C89A80CC80C0C9DB70C9BAF0CAD9C0CA01F0CBFBD0CB3100CAECF0CACCB0CA48E0CE7C10CB3730CBF690CD6A60C8C6D0C9C5E0C8AAE",
"26 Jul 2026 16:17:34","MO","RockBLOCK 234048","SBD",225,"SBD","6A664EDD3F79BE10D85C10980B10E7D7112A9410E3331128DB110B3010EFE51119161135E810F796112B2210E6E11105DF112D9C114E52112D29112831113E0211146411339F11146C1124C61148341140D6115088113D82112B1A112A3B1118A211200F10FCD3112C211120CC110B971142A2113D5C111C1E11301311487E11",
"26 Jul 2026 16:16:00","MO","RockBLOCK 228680","SBD",231,"SBD","6A66240D3929751ADB9E1AEBC9FDF70A63D427A10627A360FDFF0A63912B9B0A2B9138FDFE0A635A2BDAE82BDE77FDEC0A64CA2BBFE72BB57EFDE40A64DA2BC4522B9F8AFDE70A66032C19542C2EC7FDF10A67EC2CB6B12CCBA2FDE00A69552CF9FD2D0DD2FDE40A6C402D37F82D2711FDCC0A6DD61AD1111AE049FE2E0A6380",
"26 Jul 2026 13:26:39","MO","RockBLOCK 228679","SBD",226,"SBD","6A65FC994193BC0EF079010000000EC4B10EDE0A0EC6FB0EB9180E0CE40E21F10E332D0E0BB30E074A0E36740E53AC0E31160E268F0E617D0E27720E35320E31C30E1AE60E41580E56090E37300E1B2F0E48D60E208F0E543A0E43210E166B0E4D7E0E65770E24D40E413A0E2F830E28C70E4EB00E613A0DFA1F0E2D490E2D14",
"26 Jul 2026 12:17:35","MO","RockBLOCK 234048","SBD",225,"SBD","6A66169D3EBFD9125FF90F6C121160E211C38C1162D811D02511AB3211990711B7B511E0C311A10311C8BA118D8311AA1011D41A11FB1911D03E11C01E11D9FF11B47911DA2611AB6F11D05B11F49E11EAC012022511DC5F11C1C911C9D011B51411BD3611A55211CD5D11D32D11BD6A11E2E511ECBB11D00411D16611E93811",
"26 Jul 2026 10:26:41","MO","RockBLOCK 228679","SBD",226,"SBD","6A65D2693FEC9E11D00A0100000011CD3312006411FB2211F9BB10ABEB10FFA5114AD210C1BE10B0761150681158621121CF1147A1116782111F3E1165CF11431810BCA811550311767F1161BE10C1C9116B7E1125BE11669411586910F4BF114B57118AC21124EE11573710F9FE1132DC115EB7114DF41110BD114BFF115115",
"26 Jul 2026 08:17:38","MO","RockBLOCK 234048","SBD",225,"SBD","6A65DE5D3D83BB157880148CCC14BF8B14D65514C0BB14D51114D37214CA0F14D44814DD9D14D26E14D62F14CAC914C9CA14E34114E51B14DA2C14D7BA14E5D214D2C014E04914CDB214E1C114E53414DFA914E9FB14DD9114DCBB14DC4514D4A014D8EF14DBA814DCB614E52B14D10914D5D814E03F14D91014D3EE14EE1914",
"26 Jul 2026 07:26:39","MO","RockBLOCK 228679","SBD",226,"SBD","6A65A8393F371513F1410100000014081E1417C41420CD1419A51347D213889413B3991352601339A813B4AC13B64D1389E913B9DA13B6011388CC13CCA313A86C133BA613BF1C13CB5D13B4F1134E9313B4BE139C4713B43813B47D13545913A7F913D11B138A57139FF5134D4D137FDC1398CE13946E136D401396BC138CEE",
"26 Jul 2026 04:26:41","MO","RockBLOCK 228679","SBD",226,"SBD","6A657E093FBE7612E48D0100000012F82E12E1EC12DDF712E3EE12E3BE12D82012CF8612D31412C62A12C2F412C4FD12C8DF12CD4212C4DB12CDE612CDB812C22412D0A512C87812CE0B12B91A12B8CF12B52312C7E512BC6412C00D12B3E412BB8E12C0CB12C0C712B86612C07412BAAD12B91212CA3C12B1FB12B7FF12B1EE",
"26 Jul 2026 04:17:38","MO","RockBLOCK 234048","SBD",225,"SBD","6A65A61D3D1CD716B69F17539F1771E1174B9A17342617217D17226B1715E417188D170CE417156F170CAD170B8316FB1C170E9B1700E816FDEC16FE2A1703C416F6CC16F96216E7AE16F23A16E87016EB8016F2B816E5BD16F26A16E58E16E58B16E98316EC0B16E52A16EE3D16DC4716D90716E1F116DB8516D57516EE7C16",
"26 Jul 2026 01:26:38","MO","RockBLOCK 228679","SBD",226,"SBD","6A6553D9405E5B10491601000000105906104ABF104B481050821051F9104C10104924104C2410424710427710430B1047DC104B4D1044ED104ABC104D5D10441D104D5D104D2B10540A104440103F0310413D105116104A31104D45104196104780104DF8104BFD1045541049C81046E510466E1056B2103FC8104774104276",
"26 Jul 2026 00:17:50","MO","RockBLOCK 234048","SBD",225,"SBD","6A656DDD3D81F0160B9216AE4216F98D16D6CC16C3B316B5C916B9F016AD2116B45616AA0416AC9F16A4D116A54916995D16AE5616A3A916A00416A1B116AAE9169C5E16A0F8168E7C16983D1690A11690791696E5168C881699A116918A168DDA16937D1693D516903A16974A16849516815316845C167F37167B351697F016",
"25 Jul 2026 22:26:35","MO","RockBLOCK 228679","SBD",226,"SBD","6A6529A94118380F2B48010000000F361D0F32150F2BA00F36110F37540F32670F474A0F26190F1E750F217A0F234A0F24070F2C070F27F00F347F0F36920F19E20F28580F28FB0F2E250F247A0F1F800F22E30F2CC30F20D80F287D0F1C630F399E0F3DF50F38E60F28AF0F2B650F25070F21C10F26940F0FB40F15140F0F38",
"25 Jul 2026 20:17:38","MO","RockBLOCK 234048","SBD",225,"SBD","6A65359D3E9E82139489135EE3157BF8159948150F8D1547C515300D14CC85154E8D1567CB14B8FE15440314B86D14FA7615396D156575159477155427156EAF151339155062152CEC151CB61566BD156183156790157D9415592C1553DF15485B153AD114D9FF154935150D8A14E2FB158394153AA014FE7E155618155D6C15",
"25 Jul 2026 19:26:40","MO","RockBLOCK 228679","SBD",226,"SBD","6A64FF794220A50D7F5B010000000D74AB0D84A40D5E1F0D8A5D0D52230D46AF0D5E820D3FA30D3E600D33F90D40AD0D507A0D4B680D52150D5FB50D57A70D40980D5BE40D52AA0D5FE60D49000D41F00D55D50D56730D57BB0D5BE60D5DE00D5A5D0D735C0D6D860D65270D77420D6FA20D76040D7AE50D65000D6F680D63D0",
"25 Jul 2026 17:37:27","MO",231710,"SBD",284,"SBD","6A64F48A36C8564F8A894F7CC563D4ABFCB04CC7044CC11B63CA73FC8C46D5D446C19463BFD6FC9B461D014618E763C4B3FCAA4675AC46812863B70EFC8346FD1F4707F363C89CFC60479ED84797A463BB3CFCB647DB2C47D46063BB45FC3D484B8148372663BD4DFC8448937A48714B63BBF5FC6148D45C48B65F63B999FC69",
"25 Jul 2026 16:26:35","MO","RockBLOCK 228679","SBD",226,"SBD","6A64D54942A0790D0EB0010000000D061E0D18C90CD5680CE8DE0CAE790CA6570CA2420CA5D50C97210C72BB0C87F00C9DA30C82C30CA2E40CA6380CA2290C91F10CB4B00CA3E50CBA930CA75D0C96690CAFAB0CA82B0CA5170C9E330CA57A0C9C0B0CA1460C9A2F0C904D0C9DA80C95AE0CA3C10CA7BF0C7D760C91CD0C7ECC",
"25 Jul 2026 16:17:34","MO","RockBLOCK 234048","SBD",225,"SBD","6A64FD5D3EF28412B71311803515372B1590B614CE9C158910156EC814F3DB15AE2515D41B14A5E5159B3514AA8E15437D15AC8C15F47715A01D15BE1E15E80A156F1015C15A15B560158DC715FD3515F0F015EDEA15FE9C15E6E915D13B15AC1815B85314FC4315A6F5152C451509E116035C15B1511503AC15B96915E3A515",
"25 Jul 2026 16:15:18","MO","RockBLOCK 228680","SBD",231,"SBD","6A64D28D392ABD1AD5911AE5DEFDF30A52E12667F926681FFDF60A52AA2AE1B72AD761FDFD0A526C2BD57E2BD935FDEF0A53D02BBEB92BB444FDF00A53D92BBD942B990BFDEE0A55062BFC822C1177FDE90A56F62C91072CA510FDE40A585D2CE4CB2CF81CFDEB0A5B482D2B692D1A65FDC80A5CE11AEBAF1AFA9BFE230A52A0",
