"position","node","ntc","a","b","c","d","source","a_suspect"
1,36,1,0.000815202003881837,0.000283008341332987,-3.72957704208128e-06,3.22317046400326e-07,"SM1",FALSE
1,36,2,0.000844881878982196,0.00027492587444152,-3.01294200766445e-06,3.01413632480097e-07,"SM1",FALSE
1,36,3,0.000905297832946089,0.000259230976682504,-1.61829691928272e-06,2.59251132358196e-07,"SM1",FALSE
2,37,1,0.000851353139004774,0.000273213080839684,-2.84332979506948e-06,2.95641185777502e-07,"SM1",FALSE
2,37,2,0.000848648044482985,0.000274198715909996,-2.96016938818606e-06,3.00387828414273e-07,"SM1",FALSE
2,37,3,0.000863437940588209,0.000269782870748948,-2.5159830734251e-06,2.85599137232932e-07,"SM1",FALSE
3,39,1,0.000870269588341322,0.000268072091311412,-2.39114188356783e-06,2.82569752225707e-07,"SM1",FALSE
3,39,2,0.000864890695381254,0.000269847619844088,-2.5626062948256e-06,2.87964406795448e-07,"SM1",FALSE
3,39,3,0.000881614856883275,0.0002650828713766,-2.11717008698125e-06,2.73982090588044e-07,"SM1",FALSE
4,72,1,0.000728331124307002,0.000306456254215647,-5.83788288503056e-06,3.85811871241609e-07,"SM1",FALSE
4,72,2,0.000831454176600305,0.000278534754767296,-3.32336544110805e-06,3.09823006319872e-07,"SM1",FALSE
4,72,3,0.000847537125203571,0.000274323195174933,-2.95355286319115e-06,2.99110079483954e-07,"SM1",FALSE
5,75,1,0.000871079289494219,0.00026794080961352,-2.40382612408113e-06,2.84202073463201e-07,"SM1",FALSE
5,75,2,0.000873627460894392,0.000267207984390125,-2.29645974579996e-06,2.7930181257686e-07,"SM1",FALSE
5,75,3,0.000877263159162248,0.000266146369246207,-2.21318762121526e-06,2.76550707389547e-07,"SM1",FALSE
6,76,1,0.000603268452163743,0.00034421544136243,-9.64492183213712e-06,5.13426175244143e-07,"SM1",TRUE
6,76,2,0.000873289812169555,0.000267639315450752,-2.37975173165936e-06,2.82992162160358e-07,"SM1",FALSE
6,76,3,0.000879513674571958,0.000265624949225598,-2.16570841097058e-06,2.75325889639988e-07,"SM1",FALSE
7,78,1,0.000880177836730089,0.000265666871238822,-2.20786784946314e-06,2.77789790312303e-07,"SM1",FALSE
7,78,2,0.000877982370215898,0.000266306667571434,-2.24411075818289e-06,2.78049479834637e-07,"SM1",FALSE
7,78,3,0.000934972650204797,0.000251768833102121,-1.03146375751701e-06,2.45068815294272e-07,"SM1",FALSE
8,79,1,0.000762276384984761,0.000298910184380995,-5.30931650159112e-06,3.74535441838552e-07,"SM1",FALSE
8,79,2,0.000892815130220352,0.00026215847343562,-1.87608854434548e-06,2.67650249135485e-07,"SM1",FALSE
8,79,3,0.0008965737145821,0.000260902953428103,-1.73406467503491e-06,2.62708977673647e-07,"SM1",FALSE
9,83,1,0.00085151186209045,0.000278619840928681,-3.90968011929946e-06,3.48169292772227e-07,"SM1",FALSE
9,83,2,0.000848796466633138,0.000273968549431505,-2.9414281909207e-06,2.99822810015697e-07,"SM1",FALSE
9,83,3,0.000845982902076118,0.000274675943252922,-2.96891613488734e-06,2.99165492301565e-07,"SM1",FALSE
10,84,1,0.000762017387543414,0.00029826570526996,-5.19886328389473e-06,3.69276774328138e-07,"SM1",FALSE
10,84,2,0.000866283614604118,0.00026935111929735,-2.51674446962424e-06,2.8657769951657e-07,"SM1",FALSE
10,84,3,0.000857916279881165,0.000271352870264697,-2.67096404021557e-06,2.90386736370932e-07,"SM1",FALSE
11,38,1,0.000515917894792846,0.000366858366443004,-1.15763590781558e-05,5.67379764916055e-07,"SM1",TRUE
11,38,2,0.000859195872264926,0.000270994824287984,-2.6469356356601e-06,2.89935487912816e-07,"SM1",FALSE
11,38,3,0.000874288081068567,0.00026713466959786,-2.31314985443905e-06,2.80300863533938e-07,"SM1",FALSE
12,71,1,0.000790396387658518,0.000289538291787606,-4.31383315457498e-06,3.39747901601714e-07,"SM1",FALSE
12,71,2,0.000829343414268429,0.000279366936591802,-3.40398228710872e-06,3.12613502054784e-07,"SM1",FALSE
12,71,3,0.000762110000524802,0.00029830170607932,-5.27069078736096e-06,3.77609168074073e-07,"SM1",FALSE
13,73,1,0.000746441757840062,0.000305239603254373,-6.11655644060207e-06,4.0762224906481e-07,"SM1",FALSE
13,73,2,0.000826969962211258,0.000280214823630298,-3.50351562066074e-06,3.16476043586702e-07,"SM1",FALSE
13,73,3,0.000821901067112098,0.000281526385774122,-3.61825084376704e-06,3.20048854117962e-07,"SM1",FALSE
14,74,1,0.000766655834050139,0.00029989077414269,-5.6439561695406e-06,3.92913538343673e-07,"SM1",FALSE
14,74,2,0.000833434645120443,0.000277787882284152,-3.23121560814139e-06,3.06574265527991e-07,"SM1",FALSE
14,74,3,0.00102255682345708,0.00023372686575179,6.21986605472479e-08,2.29339366676742e-07,"SM1",TRUE
15,77,1,0.00086063001831514,0.000271004254173421,-2.68406633813664e-06,2.92005066335103e-07,"SM1",FALSE
15,77,2,0.000865106110746687,0.000269596646755186,-2.51585724084227e-06,2.85638169189984e-07,"SM1",FALSE
15,77,3,0.00222944375858352,-9.33459361578158e-05,2.94296476945678e-05,-6.42982103888295e-07,"SM1",TRUE
16,80,1,0.000851354765420284,0.000273537624872025,-2.91075307839903e-06,2.98482413965807e-07,"SM1",FALSE
16,80,2,0.000841484474286005,0.000275826326361993,-3.07830244700436e-06,3.03036448291571e-07,"SM1",FALSE
16,80,3,0.00159332772469699,7.93227487577369e-05,1.38733139627027e-05,-1.78525786834288e-07,"SM1",TRUE
17,82,1,0.000633263325896851,0.000334966938814492,-8.70606041491464e-06,4.8124064587341e-07,"SM1",TRUE
