"position","node","ntc","a","b","c","d","source","a_suspect"
1,28,1,0.000683003096864038,0.000319098046041759,-7.00643504685336e-06,4.21534077673068e-07,"registry:2026-07-07",FALSE
1,28,2,0.000860946074057106,0.000270424831378534,-2.5983778550652e-06,2.87880139441959e-07,"registry:2026-06-15",FALSE
1,28,3,0.000713852847898088,0.000309647567764711,-6.07196057640339e-06,3.90931088890512e-07,"registry:2026-07-07",FALSE
2,13,1,0.000800936028330165,0.00028612698853445,-3.94501162447646e-06,3.26684370285831e-07,"registry:2026-07-07",FALSE
2,13,2,0.000803884393075207,0.000285178170953402,-3.84651059020106e-06,3.2343912631875e-07,"registry:2026-07-07",FALSE
2,13,3,0.00080078642227566,0.000285478368254354,-3.86031059880309e-06,3.24034769308816e-07,"registry:2026-07-07",FALSE
3,18,1,0.000835701084151175,0.000276382933446145,-3.05965810825855e-06,3.00203386945683e-07,"registry:2026-07-07",FALSE
3,18,2,0.000854057276487368,0.000271521877114609,-2.61572105903071e-06,2.86463312548505e-07,"registry:2026-07-07",FALSE
3,18,3,0.00083042541757262,0.000277653644376901,-3.15456601978034e-06,3.02680253176375e-07,"registry:2026-07-07",FALSE
4,19,1,0.000832117455319586,0.000277226976383292,-3.11187522707652e-06,3.00768385846746e-07,"registry:2026-07-07",FALSE
4,19,2,0.000824346193767207,0.000279301127359625,-3.29191374993977e-06,3.06511191659677e-07,"registry:2026-07-07",FALSE
4,19,3,0.000814912474263175,0.000281895788747698,-3.53104662318515e-06,3.13847106714468e-07,"registry:2026-07-07",FALSE
5,25,1,0.00081715408003805,0.000281630436698132,-3.52527805984858e-06,3.13736593276782e-07,"registry:2026-07-07",FALSE
5,25,2,0.000792495315351083,0.000287989317710009,-4.08838027372543e-06,3.3058820219442e-07,"registry:2026-07-07",FALSE
5,25,3,0.000797413900623882,0.000286797166931386,-3.99437982010848e-06,3.27966770496781e-07,"registry:2026-07-07",FALSE
6,26,1,0.000785851700364249,0.000290755425607809,-4.43988975084178e-06,3.44925394277973e-07,"registry:2026-07-07",TRUE
6,26,2,0.000762677734836279,0.000297167374108846,-5.01657166596288e-06,3.61378313989347e-07,"registry:2026-07-07",TRUE
6,26,3,0.000828162363678496,0.000278595236471342,-3.27210119182184e-06,3.07046751483997e-07,"registry:2026-07-07",TRUE
7,95,1,0.000805905974027849,0.000284650478276033,-3.79976926018309e-06,3.22050195954255e-07,"registry:2026-07-07",FALSE
7,95,2,0.000787051827727048,0.000289807682909914,-4.2779002957565e-06,3.36588167100058e-07,"registry:2026-07-07",FALSE
7,95,3,0.000801018466996051,0.000285568221982788,-3.86437270002468e-06,3.23579543372452e-07,"registry:2026-07-07",FALSE
8,35,1,0.000724444605730961,0.000307526684357124,-5.96056334430038e-06,3.8961609909651e-07,"registry:2026-07-07",FALSE
8,35,2,0.000688124659431376,0.000317457896283421,-6.85135309886374e-06,4.16922199473941e-07,"registry:2026-07-07",FALSE
8,35,3,0.000716606688998478,0.000309518063308677,-6.1061346952815e-06,3.93886910004219e-07,"registry:2026-07-07",FALSE
9,62,1,0.000682487006178112,0.000319081831576152,-7.01296855817075e-06,4.22532640752563e-07,"registry:2026-07-07",FALSE
9,62,2,0.000694214796959274,0.000315921700990837,-6.72581103974673e-06,4.12697684082031e-07,"registry:2026-07-07",FALSE
9,62,3,0.000695148818212173,0.000315544573728087,-6.67730770400906e-06,4.11172510892954e-07,"registry:2026-07-07",FALSE
10,85,1,0.00073437682457138,0.000304759613623378,-5.70809112402745e-06,3.8265886855189e-07,"registry:2026-07-07",FALSE
10,85,2,0.000740299515005364,0.000302963715317483,-5.50829293823664e-06,3.75560372911617e-07,"registry:2026-07-07",FALSE
10,85,3,0.000812156507907559,0.000282735753636263,-3.60896146205211e-06,3.15855530696196e-07,"registry:2026-07-07",FALSE
11,86,1,0.000784175431631001,0.000290244360400316,-4.303303703758e-06,3.37446199513344e-07,"registry:2026-07-07",FALSE
11,86,2,0.000773140941041123,0.000293366437360336,-4.58841950696409e-06,3.45936513959679e-07,"registry:2026-07-07",FALSE
11,86,3,0.00076723162476959,0.000294871967881229,-4.71171827804256e-06,3.4953437704191e-07,"registry:2026-07-07",FALSE
12,87,1,0.000813541983843746,0.000282441761487876,-3.60907706834277e-06,3.16976774810893e-07,"registry:2026-07-07",FALSE
12,87,2,0.0008121527622131,0.000282925900081887,-3.65967441012369e-06,3.18773281953447e-07,"registry:2026-07-07",FALSE
12,87,3,0.000808053765908938,0.000283828196239948,-3.71186925515207e-06,3.19152401578052e-07,"registry:2026-07-07",FALSE
13,88,1,0.000889008360058636,0.00026162140248792,-1.70368707450964e-06,2.58310786481878e-07,"registry:2026-07-06",FALSE
13,88,2,0.000858519489922967,0.000270287123299756,-2.49054901580735e-06,2.82505500707588e-07,"registry:2026-07-06",FALSE
13,88,3,0.000874987681306581,0.000265830572798633,-2.10182526889763e-06,2.7119379348093e-07,"registry:2026-07-06",FALSE
14,89,1,0.000890160950541923,0.000261059408852105,-1.61413041998497e-06,2.55212895572148e-07,"registry:2026-07-06",FALSE
14,89,2,0.000866544626004075,0.000267836358357974,-2.27342824533526e-06,2.76216285681479e-07,"registry:2026-07-06",FALSE
14,89,3,0.000807418420402487,0.000284740702665524,-3.87656672475349e-06,3.2668357686446e-07,"registry:2026-07-06",FALSE
15,90,1,0.000877658605796142,0.000264420202378636,-1.91489289064532e-06,2.64405966399569e-07,"registry:2026-07-06",FALSE
15,90,2,0.000854961353101311,0.000270748071836533,-2.50095634593273e-06,2.81410578767134e-07,"registry:2026-07-06",FALSE
15,90,3,0.000856952192914187,0.000270753732868125,-2.55701122445662e-06,2.84919103206601e-07,"registry:2026-07-06",FALSE
